Entry	Entry Name	Gene Names	Protein names	Gene Ontology IDs
P00562	AK2H_ECOLI	metL metM b3940 JW3911	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	GO:0004072; GO:0004412; GO:0005524; GO:0005829; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0046872; GO:0050661; GO:0070403
P00579	RPOD_ECOLI	rpoD alt b3067 JW3039	RNA polymerase sigma factor RpoD (Sigma-70)	GO:0000345; GO:0000976; GO:0003899; GO:0005829; GO:0006352; GO:0006355; GO:0009408; GO:0016987; GO:0045892; GO:1903865; GO:2000142
P00582	DPO1_ECOLI	polA resA b3863 JW3835	DNA polymerase I (POL I) (EC 2.7.7.7)	GO:0003677; GO:0003887; GO:0005737; GO:0005829; GO:0006260; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0008408; GO:0008409
P00634	PPB_ECOLI	phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)	GO:0000287; GO:0004035; GO:0004721; GO:0008270; GO:0030288; GO:0030613; GO:0033748; GO:0042597
P00722	BGAL_ECOLI	lacZ b0344 JW0335	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	GO:0000287; GO:0004565; GO:0005990; GO:0009341; GO:0030246; GO:0031420; GO:0042802
P00803	LEP_ECOLI	lepB b2568 JW2552	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	GO:0004175; GO:0004252; GO:0005886; GO:0006465; GO:0006508; GO:0008233; GO:0009003; GO:0016485
P00804	LSPA_ECOLI	lspA lsp b0027 JW0025	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	GO:0004175; GO:0004190; GO:0005886; GO:0006465
P00805	ASPG2_ECOLI	ansB b2957 JW2924	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	GO:0004067; GO:0006530; GO:0030288; GO:0032991; GO:0042597; GO:0042802; GO:0051289
P00811	AMPC_ECOLI	ampC ampA b4150 JW4111	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P00861	DCDA_ECOLI	lysA b2838 JW2806	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	GO:0008836; GO:0009089; GO:0030170; GO:0042803
P00864	CAPP_ECOLI	ppc glu b3956 JW3928	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	GO:0000287; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0008964; GO:0015977; GO:0042802; GO:0051289
P00888	AROF_ECOLI	aroF b2601 JW2582	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	GO:0003849; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0042802
P00893	ILVI_ECOLI	ilvI b0077 JW0076	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660
P00894	ILVH_ECOLI	ilvH brnP b0078 JW0077	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:1990610
P00903	PABA_ECOLI	pabA b3360 JW3323	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	GO:0000162; GO:0008153; GO:0009356; GO:0046654; GO:0046656; GO:0046820; GO:0046982
P00904	TRPGD_ECOLI	trpGD trpD b1263 JW1255	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	GO:0000162; GO:0000287; GO:0002047; GO:0004048; GO:0004049; GO:0005950
P00914	PHR_ECOLI	phrB phr b0708 JW0698	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	GO:0000719; GO:0003677; GO:0003684; GO:0003904; GO:0007603; GO:0009416; GO:0071949
P00926	SDHD_ECOLI	dsdA b2366 JW2363	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	GO:0005737; GO:0005829; GO:0006974; GO:0008721; GO:0016836; GO:0030170; GO:0036088; GO:0051410; GO:0070178
P00935	METB_ECOLI	metB b3939 JW3910	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	GO:0003962; GO:0004123; GO:0005737; GO:0009086; GO:0019343; GO:0019346; GO:0030170
P00936	CYAA_ECOLI	cyaA cya b3806 JW3778	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	GO:0004016; GO:0005524; GO:0005737; GO:0006171
P00946	MANA_ECOLI	manA pmi b1613 JW1605	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	GO:0004476; GO:0005829; GO:0008270; GO:0009242; GO:0009298; GO:0019309
P00956	SYI_ECOLI	ileS ilvS b0026 JW0024	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270; GO:0046677
P00957	SYA_ECOLI	alaS lovB b2697 JW2667	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006419; GO:0008270; GO:0016020; GO:0042802; GO:0042803; GO:0045892; GO:0141207
P00959	SYM_ECOLI	metG b2114 JW2101	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl transfer RNA synthetase) (Methionyl-tRNA synthetase) (MTS) (MetRS)	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0008270; GO:0016020; GO:0042803; GO:0071236
P00962	SYQ_ECOLI	glnS b0680 JW0666	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425
P00963	ASNA_ECOLI	asnA b3744 JW3722	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	GO:0004071; GO:0005524; GO:0005829; GO:0006529; GO:0006974; GO:0042802; GO:0042803; GO:0070981
P00968	CARB_ECOLI	carB pyrA b0033 JW0031	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872
P02358	RS6_ECOLI	rpsF b4200 JW4158	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022627; GO:0048027; GO:0070181
P02359	RS7_ECOLI	rpsG b3341 JW3303	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	GO:0000028; GO:0000049; GO:0002181; GO:0003729; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627
P02916	MALF_ECOLI	malF b4033 JW3993	Maltose/maltodextrin transport system permease protein MalF	GO:0005886; GO:0006974; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154
P02918	PBPA_ECOLI	mrcA ponA b3396 JW3359	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0030288; GO:0046677; GO:0071555
P02919	PBPB_ECOLI	mrcB pbpF ponB b0149 JW0145	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0009274; GO:0016020; GO:0030288; GO:0046677; GO:0051518; GO:0071433
P02920	LACY_ECOLI	lacY b0343 JW0334	Lactose permease (Lactose-proton symport)	GO:0005351; GO:0005886; GO:0008643; GO:0015528; GO:0015767; GO:0016020; GO:0030395
P02921	MELB_ECOLI	melB mel-4 b4120 JW4081	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	GO:0005886; GO:0015487; GO:0015592; GO:0015765; GO:0015769; GO:0043887; GO:0055085
P02925	RBSB_ECOLI	rbsB prlB rbsP b3751 JW3730	Ribose import binding protein RbsB	GO:0015752; GO:0016020; GO:0030288; GO:0048029; GO:0050918; GO:0055052; GO:0055085
P02929	TONB_ECOLI	tonB exbA b1252 JW5195	Protein TonB	GO:0005886; GO:0006879; GO:0009279; GO:0015031; GO:0015889; GO:0015891; GO:0016020; GO:0019904; GO:0030003; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0055085; GO:0098002; GO:0098797; GO:1902495
P02930	TOLC_ECOLI	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	GO:0005216; GO:0009279; GO:0009410; GO:0009636; GO:0015125; GO:0015288; GO:0015562; GO:0015721; GO:0016020; GO:0034220; GO:0042802; GO:0042930; GO:0042931; GO:0046677; GO:0098567; GO:0140330; GO:1990196; GO:1990281; GO:1990961
P02931	OMPF_ECOLI	ompF cmlB coa cry tolF b0929 JW0912	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	GO:0001530; GO:0005216; GO:0008289; GO:0009279; GO:0015031; GO:0015288; GO:0016020; GO:0034220; GO:0034702; GO:0042802; GO:0042912; GO:0046930; GO:0070207; GO:0097718
P02942	MCP1_ECOLI	tsr cheD b4355 JW4318	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0009593; GO:0042802; GO:0048870; GO:0071230; GO:0098561; GO:1902021
P02943	LAMB_ECOLI	lamB malB b4036 JW3996	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	GO:0001618; GO:0005363; GO:0006811; GO:0006974; GO:0009279; GO:0015144; GO:0015288; GO:0015481; GO:0015774; GO:0042956; GO:0042958; GO:0046930; GO:0106234; GO:1904981
P03004	DNAA_ECOLI	dnaA b3702 JW3679	Chromosomal replication initiator protein DnaA (EC 3.6.4.-)	GO:0003677; GO:0003688; GO:0005524; GO:0005829; GO:0005886; GO:0006260; GO:0006270; GO:0006275; GO:0008289; GO:0009295; GO:0009898; GO:0016787; GO:0030174; GO:0032297; GO:0032298; GO:0042802; GO:0043565; GO:1990078; GO:1990082; GO:1990084; GO:1990101; GO:1990102; GO:1990103
P03007	DPO3E_ECOLI	dnaQ mutD b0215 JW0205	DNA polymerase III subunit epsilon (EC 2.7.7.7)	GO:0003677; GO:0003887; GO:0004527; GO:0005829; GO:0006261; GO:0006272; GO:0006273; GO:0008408; GO:0009360; GO:0030894; GO:0044776; GO:0045004; GO:0046872
P03018	UVRD_ECOLI	uvrD mutU pdeB rad recL b3813 JW3786	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	GO:0000725; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006289; GO:0006298; GO:0009314; GO:0009432; GO:0015616; GO:0016887; GO:0017116; GO:0017117; GO:0031297; GO:0033202; GO:0042803; GO:0043138; GO:0070581; GO:0070716
P03023	LACI_ECOLI	lacI b0345 JW0336	Lactose operon repressor	GO:0000976; GO:0000987; GO:0001217; GO:0003700; GO:0005829; GO:0006355; GO:0042802; GO:0045892
P03819	KEFC_ECOLI	kefC trkC b0047 JW0046	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	GO:0000166; GO:0005886; GO:0006813; GO:0006885; GO:0009636; GO:0015503; GO:0015643; GO:0016020; GO:0019899; GO:0042542; GO:0042803; GO:0051453; GO:0051454; GO:0051595; GO:1902600; GO:1903103
P03959	KDPA_ECOLI	kdpA b0698 JW0686	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	GO:0005886; GO:0006813; GO:0008556; GO:0030955; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P03960	KDPB_ECOLI	kdpB b0697 JW0685	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	GO:0000287; GO:0005524; GO:0005886; GO:0006813; GO:0008556; GO:0016887; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P03961	KDPC_ECOLI	kdpC b0696 JW0684	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	GO:0005524; GO:0005886; GO:0006813; GO:0008556; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P04036	DAPB_ECOLI	dapB b0031 JW0029	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	GO:0005829; GO:0008652; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0042802; GO:0050661; GO:0051287
P04079	GUAA_ECOLI	guaA b2507 JW2491	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	GO:0003921; GO:0003922; GO:0005524; GO:0005829; GO:0006177; GO:0042802
P04152	UMUC_ECOLI	umuC b1184 JW1173	Protein UmuC (DNA polymerase V) (Pol V)	GO:0003684; GO:0003697; GO:0003887; GO:0005829; GO:0005886; GO:0006281; GO:0006974; GO:0008094; GO:0009355; GO:0009432; GO:0016020; GO:0019985; GO:0042276
P04391	OTC1_ECOLI	argI b4254 JW4211	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0042450; GO:0046872
P04395	3MG2_ECOLI	alkA aidA b2068 JW2053	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	GO:0003905; GO:0005737; GO:0006281; GO:0006284; GO:0006285; GO:0006307; GO:0006974; GO:0008725; GO:0032131; GO:0043916
P04425	GSHB_ECOLI	gshB gsh-II b2947 JW2914	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	GO:0000287; GO:0004363; GO:0005524; GO:0005737; GO:0005829; GO:0006750; GO:0042802; GO:0051289
P04693	TYRB_ECOLI	tyrB b4054 JW4014	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	GO:0004838; GO:0005737; GO:0005829; GO:0006532; GO:0008793; GO:0009098; GO:0019292; GO:0030170; GO:0033585; GO:0042802; GO:0042803; GO:0052654
P04805	SYE_ECOLI	gltX b2400 JW2395	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	GO:0000049; GO:0004818; GO:0005524; GO:0005829; GO:0006424; GO:0008270
P04825	AMPN_ECOLI	pepN b0932 JW0915	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	GO:0004177; GO:0005886; GO:0006508; GO:0008237; GO:0008270; GO:0016285; GO:0042802
P04968	ILVA_ECOLI	ilvA b3772 JW3745	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	GO:0004794; GO:0006566; GO:0009082; GO:0009097; GO:0016597; GO:0030170
P04982	RBSD_ECOLI	rbsD b3748 JW5857	D-ribose pyranase (EC 5.4.99.62)	GO:0005829; GO:0016866; GO:0016872; GO:0019303; GO:0042802; GO:0048029; GO:0062193
P04983	RBSA_ECOLI	rbsA b3749 JW3728	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	GO:0005524; GO:0005886; GO:0015147; GO:0015407; GO:0015591; GO:0015611; GO:0015752; GO:0016020; GO:0016887; GO:0043190; GO:0055052
P04993	RECD_ECOLI	recD hopE b2819 JW2787	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	GO:0000724; GO:0000725; GO:0003677; GO:0004386; GO:0005524; GO:0006310; GO:0006974; GO:0008854; GO:0009338; GO:0016887; GO:0017116; GO:0043139
P04994	EX7L_ECOLI	xseA b2509 JW2493	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)	GO:0003677; GO:0005737; GO:0006298; GO:0006308; GO:0008855; GO:0009318
P04995	EX1_ECOLI	sbcB cpeA xonA b2011 JW1993	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	GO:0000175; GO:0000287; GO:0003697; GO:0006274; GO:0006281; GO:0006308; GO:0008310; GO:0051575
P05020	PYRC_ECOLI	pyrC b1062 JW1049	Dihydroorotase (DHOase) (EC 3.5.2.3)	GO:0004151; GO:0005737; GO:0005829; GO:0006207; GO:0006221; GO:0008270; GO:0042803; GO:0044205
P05041	PABB_ECOLI	pabB b1812 JW1801	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	GO:0000162; GO:0000287; GO:0008153; GO:0009356; GO:0046654; GO:0046656; GO:0046820; GO:0046982; GO:0120284
P05042	FUMC_ECOLI	fumC b1611 JW1603	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	GO:0004333; GO:0005737; GO:0006099; GO:0006106; GO:0006108; GO:0006979; GO:0042802
P05050	ALKB_ECOLI	alkB aidD b2212 JW2200	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	GO:0005737; GO:0005829; GO:0006281; GO:0006307; GO:0008198; GO:0035513; GO:0035515; GO:0035516; GO:0042245; GO:0051213; GO:0070989; GO:0072702
P05055	PNP_ECOLI	pnp b3164 JW5851	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	GO:0000175; GO:0000287; GO:0003723; GO:0004654; GO:0005829; GO:0006396; GO:0006401; GO:0006402; GO:0009408; GO:0016020; GO:0035438; GO:0042802; GO:1990061
P05194	AROD_ECOLI	aroD b1693 JW1683	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	GO:0003855; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0042803; GO:0046279
P05458	PTRA_ECOLI	ptrA ptr b2821 JW2789	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)	GO:0004222; GO:0005737; GO:0006508; GO:0008270; GO:0030288
P05523	FPG_ECOLI	mutM fpg b3635 JW3610	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	GO:0000703; GO:0003684; GO:0003906; GO:0004519; GO:0005737; GO:0006284; GO:0006974; GO:0008270; GO:0008534; GO:0019104; GO:0034039; GO:0046872; GO:0140078
P05637	APAH_ECOLI	apaH b0049 JW0048	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	GO:0005737; GO:0008796; GO:0008803; GO:0010165; GO:0015949; GO:0016787; GO:0016791; GO:0110154
P05704	MCP3_ECOLI	trg b1421 JW1417	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0042803; GO:0098561
P05791	ILVD_ECOLI	ilvD b3771 JW5605	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	GO:0000287; GO:0004160; GO:0005829; GO:0009097; GO:0009099; GO:0016836; GO:0051536; GO:0051537; GO:0051539
P05793	ILVC_ECOLI	ilvC b3774 JW3747	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	GO:0000287; GO:0004455; GO:0005829; GO:0008677; GO:0009097; GO:0009099; GO:0015940; GO:0032991; GO:0042802; GO:0050661
P05804	BGLR_ECOLI	uidA gurA gusA b1617 JW1609	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase) (EcGUS) (UID)	GO:0004566; GO:0005829; GO:0005975; GO:0030246; GO:0032991; GO:0042802
P05824	RECN_ECOLI	recN radB b2616 JW5416	DNA repair protein RecN (Recombination protein N)	GO:0000724; GO:0000725; GO:0005524; GO:0005829; GO:0006302; GO:0006974; GO:0009314; GO:0009411; GO:0009432; GO:0010165; GO:0010212; GO:0036298; GO:0043590
P05825	FEPA_ECOLI	fepA fep feuB b0584 JW5086	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	GO:0006879; GO:0009279; GO:0015344; GO:0015620; GO:0015685; GO:0016020; GO:0019904; GO:0022834; GO:0030313; GO:0033214; GO:0038023; GO:0042912; GO:0042914; GO:0042930; GO:0042931; GO:0044718; GO:1902495; GO:1903981
