entity_id,entity_type,display_name,is_exogenous,summary_quality,merged_source_count
protein.P00959,protein,metG (P00959 #3),false,informative,1
protein.P00962,protein,glnS (P00962 #3),false,informative,1
protein.P00963,protein,asnA (P00963 #3),false,informative,1
protein.P00968,protein,carB (P00968 #3),false,informative,1
protein.P02358,protein,rpsF (P02358 #3),false,informative,1
protein.P02359,protein,rpsG (P02359 #3),false,informative,1
protein.P02916,protein,malF (P02916 #3),false,informative,1
protein.P02918,protein,mrcA (P02918 #3),false,informative,1
protein.P02919,protein,mrcB (P02919 #3),false,informative,1
protein.P02920,protein,lacY (P02920 #3),false,informative,1
protein.P02921,protein,melB (P02921 #3),false,informative,1
protein.P02925,protein,rbsB (P02925 #3),false,informative,1
protein.P02929,protein,tonB (P02929 #3),false,informative,1
protein.P02930,protein,tolC (P02930 #3),false,informative,1
protein.P02931,protein,ompF (P02931 #3),false,informative,1
protein.P02942,protein,tsr (P02942 #3),false,informative,1
protein.P02943,protein,lamB (P02943 #3),false,informative,1
protein.P03004,protein,dnaA (P03004 #3),false,informative,1
protein.P03007,protein,dnaQ (P03007 #3),false,informative,1
protein.P03018,protein,uvrD (P03018 #3),false,informative,1
protein.P03023,protein,lacI (P03023 #3),false,informative,1
protein.P03819,protein,kefC (P03819 #3),false,informative,1
protein.P03959,protein,kdpA (P03959 #3),false,informative,1
protein.P03960,protein,kdpB (P03960 #3),false,informative,1
protein.P03961,protein,kdpC (P03961 #3),false,informative,1
protein.P04036,protein,dapB (P04036 #3),false,informative,1
protein.P04079,protein,guaA (P04079 #3),false,informative,1
protein.P04152,protein,umuC (P04152 #3),false,informative,1
protein.P04391,protein,argI (P04391 #3),false,informative,1
protein.P04395,protein,alkA (P04395 #3),false,informative,1
protein.P04425,protein,gshB (P04425 #3),false,informative,1
protein.P04693,protein,tyrB (P04693 #3),false,informative,1
protein.P04805,protein,gltX (P04805 #3),false,informative,1
protein.P04825,protein,pepN (P04825 #3),false,informative,1
protein.P04968,protein,ilvA (P04968 #3),false,informative,1
protein.P04982,protein,rbsD (P04982 #3),false,informative,1
protein.P04983,protein,rbsA (P04983 #3),false,informative,1
protein.P04993,protein,recD (P04993 #3),false,informative,1
protein.P04994,protein,xseA (P04994 #3),false,informative,1
protein.P04995,protein,sbcB (P04995 #3),false,informative,1
protein.P05020,protein,pyrC (P05020 #3),false,informative,1
protein.P05041,protein,pabB (P05041 #3),false,informative,1
protein.P05042,protein,fumC (P05042 #3),false,informative,1
protein.P05050,protein,alkB (P05050 #3),false,informative,1
protein.P05055,protein,pnp (P05055 #3),false,informative,1
protein.P05194,protein,aroD (P05194 #3),false,informative,1
protein.P05458,protein,ptrA (P05458 #3),false,informative,1
protein.P05523,protein,mutM (P05523 #3),false,informative,1
protein.P05637,protein,apaH (P05637 #3),false,informative,1
protein.P05704,protein,trg (P05704 #3),false,informative,1
protein.P05791,protein,ilvD (P05791 #3),false,informative,1
protein.P05793,protein,ilvC (P05793 #3),false,informative,1
protein.P05804,protein,uidA (P05804 #3),false,informative,1
protein.P05824,protein,recN (P05824 #3),false,informative,1
protein.P05825,protein,fepA (P05825 #3),false,informative,1
protein.P05852,protein,tsaD (P05852 #3),false,informative,1
protein.P06129,protein,btuB (P06129 #3),false,informative,1
protein.P06134,protein,ada (P06134 #3),false,informative,1
protein.P06136,protein,ftsQ (P06136 #3),false,informative,1
protein.P06149,protein,dld (P06149 #3),false,informative,1
protein.P06609,protein,btuC (P06609 #3),false,informative,1
protein.P06611,protein,btuD (P06611 #3),false,informative,1
protein.P06612,protein,topA (P06612 #3),false,informative,1
protein.P06616,protein,era (P06616 #3),false,informative,1
protein.P06709,protein,birA (P06709 #3),false,informative,1
protein.P06710,protein,dnaX (P06710 #3),false,informative,1
protein.P06715,protein,gor (P06715 #3),false,informative,1
protein.P06721,protein,metC (P06721 #3),false,informative,1
protein.P06722,protein,mutH (P06722 #3),false,informative,1
protein.P06959,protein,aceF (P06959 #3),false,informative,1
protein.P06960,protein,argF (P06960 #3),false,informative,1
protein.P06961,protein,cca (P06961 #3),false,informative,1
protein.P06968,protein,dut (P06968 #3),false,informative,1
protein.P06971,protein,fhuA (P06971 #3),false,informative,1
protein.P06972,protein,fhuB (P06972 #3),false,informative,1
protein.P06974,protein,fliM (P06974 #3),false,informative,1
protein.P06983,protein,hemC (P06983 #3),false,informative,1
protein.P06988,protein,hisD (P06988 #3),false,informative,1
protein.P06992,protein,rsmA (P06992 #3),false,informative,1
protein.P06993,protein,malT (P06993 #3),false,informative,1
protein.P06996,protein,ompC (P06996 #3),false,informative,1
protein.P06999,protein,pfkB (P06999 #3),false,informative,1
protein.P07001,protein,pntA (P07001 #3),false,informative,1
protein.P07003,protein,poxB (P07003 #3),false,informative,1
protein.P07004,protein,proA (P07004 #3),false,informative,1
protein.P07012,protein,prfB (P07012 #3),false,informative,1
protein.P07013,protein,priB (P07013 #3),false,informative,1
protein.P07014,protein,sdhB (P07014 #3),false,informative,1
protein.P07017,protein,tar (P07017 #3),false,informative,1
protein.P07024,protein,ushA (P07024 #3),false,informative,1
protein.P07102,protein,appA (P07102 #3),false,informative,1
protein.P07117,protein,putP (P07117 #3),false,informative,1
protein.P07118,protein,valS (P07118 #3),false,informative,1
protein.P07330,protein,cheB (P07330 #3),false,informative,1
protein.P07363,protein,cheA (P07363 #3),false,informative,1
protein.P07395,protein,pheT (P07395 #3),false,informative,1
protein.P07464,protein,lacA (P07464 #3),false,informative,1
protein.P07604,protein,tyrR (P07604 #3),false,informative,1
protein.P07623,protein,metAS,false,informative,1
protein.P07639,protein,aroB (P07639 #3),false,informative,1
protein.P07648,protein,recC (P07648 #3),false,informative,1
protein.P07649,protein,truA (P07649 #3),false,informative,1
protein.P07658,protein,fdhF (P07658 #3),false,informative,1
protein.P07821,protein,fhuC (P07821 #3),false,informative,1
protein.P07822,protein,fhuD (P07822 #3),false,informative,1
protein.P07862,protein,ddlB (P07862 #3),false,informative,1
protein.P07913,protein,tdh (P07913 #3),false,informative,1
protein.P08142,protein,ilvB (P08142 #3),false,informative,1
protein.P08179,protein,purN (P08179 #3),false,informative,1
protein.P08191,protein,fimH (P08191 #3),false,informative,1
protein.P08192,protein,folC (P08192 #3),false,informative,1
protein.P08200,protein,icd (P08200 #3),false,informative,1
protein.P08201,protein,nirB (P08201 #3),false,informative,1
protein.P08202,protein,araA (P08202 #3),false,informative,1
protein.P08203,protein,araD (P08203 #3),false,informative,1
protein.P08244,protein,pyrF (P08244 #3),false,informative,1
protein.P08312,protein,pheS (P08312 #3),false,informative,1
protein.P08337,protein,mutT (P08337 #3),false,informative,1
protein.P08373,protein,murB (P08373 #3),false,informative,1
protein.P08394,protein,recB (P08394 #3),false,informative,1
protein.P08395,protein,sppA (P08395 #3),false,informative,1
protein.P08506,protein,dacC (P08506 #3),false,informative,1
protein.P08622,protein,dnaJ (P08622 #3),false,informative,1
protein.P08660,protein,lysC (P08660 #3),false,informative,1
protein.P08839,protein,ptsI (P08839 #3),false,informative,1
protein.P08956,protein,hsdR (P08956 #3),false,informative,1
protein.P09029,protein,purK (P09029 #3),false,informative,1
protein.P09030,protein,xthA (P09030 #3),false,informative,1
protein.P09099,protein,xylB (P09099 #3),false,informative,1
protein.P09147,protein,galE (P09147 #3),false,informative,1
protein.P09148,protein,galT (P09148 #3),false,informative,1
protein.P09152,protein,narG (P09152 #3),false,informative,1
protein.P09158,protein,speE (P09158 #3),false,informative,1
protein.P09169,protein,ompT (P09169 #3),false,informative,1
protein.P09323,protein,nagE (P09323 #3),false,informative,1
protein.P09348,protein,motA (P09348 #3),false,informative,1
protein.P09372,protein,grpE (P09372 #3),false,informative,1
protein.P09373,protein,pflB (P09373 #3),false,informative,1
protein.P09377,protein,rhaS (P09377 #3),false,informative,1
protein.P09391,protein,glpG (P09391 #3),false,informative,1
protein.P09394,protein,glpQ (P09394 #3),false,informative,1
protein.P09546,protein,putA (P09546 #3),false,informative,1
protein.P09831,protein,gltB (P09831 #3),false,informative,1
protein.P09832,protein,gltD (P09832 #3),false,informative,1
protein.P09835,protein,uhpB (P09835 #3),false,informative,1
protein.P09980,protein,rep (P09980 #3),false,informative,1
protein.P0A698,protein,uvrA (P0A698 #3),false,informative,1
protein.P0A6A0,protein,ubiB (P0A6A0 #3),false,informative,1
protein.P0A6A3,protein,ackA (P0A6A3 #3),false,informative,1
protein.P0A6A8,protein,acpP (P0A6A8 #3),false,informative,1
protein.P0A6B4,protein,alr (P0A6B4 #3),false,informative,1
protein.P0A6B7,protein,iscS (P0A6B7 #3),false,informative,1
protein.P0A6C1,protein,nfo (P0A6C1 #3),false,informative,1
protein.P0A6C8,protein,argB (P0A6C8 #3),false,informative,1
protein.P0A6D0,protein,argR (P0A6D0 #3),false,informative,1
protein.P0A6D3,protein,aroA (P0A6D3 #3),false,informative,1
protein.P0A6D5,protein,ydiB (P0A6D5 #3),false,informative,1
protein.P0A6D7,protein,aroK (P0A6D7 #3),false,informative,1
protein.P0A6E1,protein,aroL (P0A6E1 #3),false,informative,1
protein.P0A6E4,protein,argG (P0A6E4 #3),false,informative,1
protein.P0A6E6,protein,atpC (P0A6E6 #3),false,informative,1
protein.P0A6F1,protein,carA (P0A6F1 #3),false,informative,1
protein.P0A6F3,protein,glpK (P0A6F3 #3),false,informative,1
protein.P0A6F5,protein,groEL,false,informative,1
protein.P0A6F9,protein,groES,false,informative,1
protein.P0A6G7,protein,clpP (P0A6G7 #3),false,informative,1
protein.P0A6H1,protein,clpX (P0A6H1 #3),false,informative,1
protein.P0A6H5,protein,hslU (P0A6H5 #3),false,informative,1
protein.P0A6H8,protein,clsA (P0A6H8 #3),false,informative,1
protein.P0A6I0,protein,cmk (P0A6I0 #3),false,informative,1
protein.P0A6I6,protein,coaD (P0A6I6 #3),false,informative,1
protein.P0A6J3,protein,cysZ (P0A6J3 #3),false,informative,1
protein.P0A6J5,protein,dadA (P0A6J5 #3),false,informative,1
protein.P0A6K1,protein,dapF (P0A6K1 #3),false,informative,1
protein.P0A6K3,protein,def (P0A6K3 #3),false,informative,1
protein.P0A6K6,protein,deoB (P0A6K6 #3),false,informative,1
protein.P0A6L0,protein,deoC (P0A6L0 #3),false,informative,1
protein.P0A6L2,protein,dapA (P0A6L2 #3),false,informative,1
protein.P0A6L4,protein,nanA (P0A6L4 #3),false,informative,1
protein.P0A6M2,protein,dsbB (P0A6M2 #3),false,informative,1
protein.P0A6M4,protein,dtd (P0A6M4 #3),false,informative,1
protein.P0A6M8,protein,fusA (P0A6M8 #3),false,informative,1
protein.P0A6N4,protein,efp (P0A6N4 #3),false,informative,1
protein.P0A6N8,protein,efpL,false,informative,1
protein.P0A6P1,protein,tsf (P0A6P1 #3),false,informative,1
protein.P0A6P5,protein,der (P0A6P5 #3),false,informative,1
protein.P0A6P9,protein,eno (P0A6P9 #3),false,informative,1
protein.P0A6Q3,protein,fabA (P0A6Q3 #3),false,informative,1
protein.P0A6Q6,protein,fabZ (P0A6Q6 #3),false,informative,1
protein.P0A6R0,protein,fabH (P0A6R0 #3),false,informative,1
protein.P0A6R3,protein,fis (P0A6R3 #3),false,informative,1
protein.P0A6S5,protein,ftsB (P0A6S5 #3),false,informative,1
protein.P0A6S7,protein,gpsA (P0A6S7 #3),false,informative,1
protein.P0A6T1,protein,pgi (P0A6T1 #3),false,informative,1
protein.P0A6T3,protein,galK (P0A6T3 #3),false,informative,1
protein.P0A6T5,protein,folE (P0A6T5 #3),false,informative,1
protein.P0A6U3,protein,mnmG (P0A6U3 #3),false,informative,1
protein.P0A6U5,protein,rsmG (P0A6U5 #3),false,informative,1
protein.P0A6V1,protein,glgC (P0A6V1 #3),false,informative,1
protein.P0A6V5,protein,glpE (P0A6V5 #3),false,informative,1
protein.P0A6W3,protein,mraY (P0A6W3 #3),false,informative,1
protein.P0A6X1,protein,hemA (P0A6X1 #3),false,informative,1
protein.P0A6X3,protein,hfq (P0A6X3 #4),false,informative,1
protein.P0A6X7,protein,ihfA (P0A6X7 #3),false,informative,1
protein.P0A6Y1,protein,ihfB (P0A6Y1 #3),false,informative,1
protein.P0A6Y5,protein,hslO (P0A6Y5 #3),false,informative,1
protein.P0A6Y8,protein,dnaK (P0A6Y8 #3),false,informative,1
protein.P0A6Z3,protein,htpG (P0A6Z3 #3),false,informative,1
protein.P0A6Z6,protein,nikR (P0A6Z6 #3),false,informative,1
protein.P0A700,protein,hypA (P0A700 #3),false,informative,1
protein.P0A703,protein,hybF (P0A703 #3),false,informative,1
protein.P0A705,protein,infB (P0A705 #3),false,informative,1
protein.P0A707,protein,infC (P0A707 #3),false,informative,1
protein.P0A710,protein,yciB (P0A710 #3),false,informative,1
protein.P0A712,protein,kdgT (P0A712 #3),false,informative,1
protein.P0A715,protein,kdsA (P0A715 #3),false,informative,1
protein.P0A717,protein,prs (P0A717 #3),false,informative,1
protein.P0A720,protein,tmk (P0A720 #3),false,informative,1
protein.P0A722,protein,lpxA (P0A722 #3),false,informative,1
protein.P0A725,protein,lpxC (P0A725 #3),false,informative,1
protein.P0A729,protein,yceF (P0A729 #3),false,informative,1
protein.P0A731,protein,mgsA (P0A731 #3),false,informative,1
protein.P0A738,protein,moaC (P0A738 #3),false,informative,1
protein.P0A742,protein,mscL (P0A742 #3),false,informative,1
protein.P0A744,protein,msrA (P0A744 #3),false,informative,1
protein.P0A746,protein,msrB (P0A746 #3),false,informative,1
protein.P0A749,protein,murA (P0A749 #3),false,informative,1
protein.P0A754,protein,kefF (P0A754 #3),false,informative,1
protein.P0A759,protein,nagB (P0A759 #3),false,informative,1
protein.P0A763,protein,ndk (P0A763 #3),false,informative,1
protein.P0A769,protein,mntH (P0A769 #3),false,informative,1
protein.P0A776,protein,rppH (P0A776 #3),false,informative,1
protein.P0A784,protein,orn (P0A784 #3),false,informative,1
protein.P0A786,protein,pyrB (P0A786 #3),false,informative,1
protein.P0A790,protein,panD (P0A790 #3),false,informative,1
protein.P0A794,protein,pdxJ (P0A794 #3),false,informative,1
protein.P0A796,protein,pfkA (P0A796 #3),false,informative,1
protein.P0A799,protein,pgk (P0A799 #3),false,informative,1
protein.P0A7A7,protein,plsB (P0A7A7 #3),false,informative,1
protein.P0A7A9,protein,ppa (P0A7A9 #3),false,informative,1
protein.P0A7B1,protein,ppk (P0A7B1 #3),false,informative,1
protein.P0A7B3,protein,nadK (P0A7B3 #3),false,informative,1
protein.P0A7B5,protein,proB (P0A7B5 #3),false,informative,1
protein.P0A7B8,protein,hslV (P0A7B8 #3),false,informative,1
protein.P0A7C2,protein,lexA (P0A7C2 #3),false,informative,1
protein.P0A7D1,protein,pth (P0A7D1 #3),false,informative,1
protein.P0A7D4,protein,purA (P0A7D4 #3),false,informative,1
protein.P0A7E1,protein,pyrD (P0A7E1 #3),false,informative,1
protein.P0A7E3,protein,pyrE (P0A7E3 #3),false,informative,1
protein.P0A7E5,protein,pyrG (P0A7E5 #3),false,informative,1
protein.P0A7E9,protein,pyrH (P0A7E9 #3),false,informative,1
protein.P0A7F6,protein,speD (P0A7F6 #3),false,informative,1
protein.P0A7F9,protein,queA (P0A7F9 #3),false,informative,1
protein.P0A7G2,protein,rbfA (P0A7G2 #3),false,informative,1
protein.P0A7G6,protein,recA (P0A7G6 #3),false,informative,1
protein.P0A7H0,protein,recF (P0A7H0 #3),false,informative,1
protein.P0A7I4,protein,prfC (P0A7I4 #3),false,informative,1
protein.P0A7I7,protein,ribA (P0A7I7 #3),false,informative,1
protein.P0A7J0,protein,ribB (P0A7J0 #3),false,informative,1
protein.P0A7J3,protein,rplJ (P0A7J3 #3),false,informative,1
protein.P0A7J7,protein,rplK (P0A7J7 #3),false,informative,1
protein.P0A7K2,protein,rplL (P0A7K2 #3),false,informative,1
protein.P0A7K6,protein,rplS (P0A7K6 #3),false,informative,1
protein.P0A7L0,protein,rplA (P0A7L0 #3),false,informative,1
protein.P0A7L3,protein,rplT (P0A7L3 #3),false,informative,1
protein.P0A7L8,protein,rpmA (P0A7L8 #3),false,informative,1
protein.P0A7M2,protein,rpmB (P0A7M2 #3),false,informative,1
protein.P0A7M6,protein,rpmC (P0A7M6 #3),false,informative,1
protein.P0A7M9,protein,rpmE (P0A7M9 #3),false,informative,1
protein.P0A7N4,protein,rpmF (P0A7N4 #3),false,informative,1
protein.P0A7N9,protein,rpmG (P0A7N9 #3),false,informative,1
protein.P0A7R1,protein,rplI (P0A7R1 #3),false,informative,1
protein.P0A7R5,protein,rpsJ (P0A7R5 #3),false,informative,1
protein.P0A7R9,protein,rpsK (P0A7R9 #3),false,informative,1
protein.P0A7S3,protein,rpsL (P0A7S3 #3),false,informative,1
protein.P0A7S9,protein,rpsM (P0A7S9 #3),false,informative,1
protein.P0A7T3,protein,rpsP (P0A7T3 #3),false,informative,1
protein.P0A7T7,protein,rpsR (P0A7T7 #3),false,informative,1
protein.P0A7U3,protein,rpsS (P0A7U3 #3),false,informative,1
protein.P0A7U7,protein,rpsT (P0A7U7 #3),false,informative,1
protein.P0A7V0,protein,rpsB (P0A7V0 #3),false,informative,1
protein.P0A7V3,protein,rpsC (P0A7V3 #3),false,informative,1
protein.P0A7V8,protein,rpsD (P0A7V8 #3),false,informative,1
protein.P0A7W1,protein,rpsE (P0A7W1 #3),false,informative,1
protein.P0A7W7,protein,rpsH (P0A7W7 #3),false,informative,1
protein.P0A7X3,protein,rpsI (P0A7X3 #3),false,informative,1
protein.P0A7X6,protein,rimM (P0A7X6 #3),false,informative,1
protein.P0A7Y0,protein,rnc (P0A7Y0 #3),false,informative,1
protein.P0A7Y4,protein,rnhA (P0A7Y4 #3),false,informative,1
protein.P0A7Z0,protein,rpiA (P0A7Z0 #3),false,informative,1
protein.P0A7Z4,protein,rpoA (P0A7Z4 #3),false,informative,1
protein.P0A800,protein,rpoZ (P0A800 #3),false,informative,1
protein.P0A809,protein,ruvA (P0A809 #3),false,informative,1
protein.P0A812,protein,ruvB (P0A812 #3),false,informative,1
protein.P0A814,protein,ruvC (P0A814 #3),false,informative,1
protein.P0A817,protein,metK (P0A817 #3),false,informative,1
protein.P0A821,protein,selA (P0A821 #3),false,informative,1
protein.P0A825,protein,glyA (P0A825 #3),false,informative,1
protein.P0A830,protein,dctA (P0A830 #3),false,informative,1
protein.P0A832,protein,smpB (P0A832 #3),false,informative,1
protein.P0A836,protein,sucC (P0A836 #3),false,informative,1
protein.P0A840,protein,surE,false,informative,1
protein.P0A847,protein,tgt (P0A847 #3),false,informative,1
protein.P0A850,protein,tig (P0A850 #3),false,informative,1
protein.P0A853,protein,tnaA (P0A853 #3),false,informative,1
protein.P0A855,protein,tolB (P0A855 #3),false,informative,1
protein.P0A858,protein,tpiA (P0A858 #3),false,informative,1
protein.P0A862,protein,tpx (P0A862 #3),false,informative,1
protein.P0A870,protein,talB (P0A870 #3),false,informative,1
protein.P0A873,protein,trmD (P0A873 #3),false,informative,1
protein.P0A879,protein,trpB (P0A879 #3),false,informative,1
protein.P0A884,protein,thyA (P0A884 #3),false,informative,1
protein.P0A887,protein,ubiE (P0A887 #3),false,informative,1
protein.P0A890,protein,tusA (P0A890 #3),false,informative,1
protein.P0A894,protein,rapZ (P0A894 #3),false,informative,1
protein.P0A898,protein,ybeY (P0A898 #3),false,informative,1
protein.P0A8B2,protein,smrB (P0A8B2 #3),false,informative,1
protein.P0A8D6,protein,ymdB (P0A8D6 #3),false,informative,1
protein.P0A8E7,protein,yajQ (P0A8E7 #3),false,informative,1
protein.P0A8F0,protein,upp (P0A8F0 #3),false,informative,1
protein.P0A8F8,protein,uvrB (P0A8F8 #3),false,informative,1
protein.P0A8G0,protein,uvrC (P0A8G0 #3),false,informative,1
protein.P0A8G6,protein,wrbA (P0A8G6 #3),false,informative,1
protein.P0A8G9,protein,xseB (P0A8G9 #3),false,informative,1
protein.P0A8H3,protein,zupT (P0A8H3 #3),false,informative,1
protein.P0A8H6,protein,yihI (P0A8H6 #3),false,informative,1
protein.P0A8I1,protein,yqgF (P0A8I1 #3),false,informative,1
protein.P0A8I5,protein,trmB (P0A8I5 #3),false,informative,1
protein.P0A8I8,protein,rlmH (P0A8I8 #3),false,informative,1
protein.P0A8J2,protein,dnaT (P0A8J2 #3),false,informative,1
protein.P0A8J8,protein,rhlB (P0A8J8 #3),false,informative,1
protein.P0A8K1,protein,psd (P0A8K1 #3),false,informative,1
protein.P0A8L1,protein,serS (P0A8L1 #3),false,informative,1
protein.P0A8M0,protein,asnS (P0A8M0 #3),false,informative,1
protein.P0A8M3,protein,thrS (P0A8M3 #3),false,informative,1
protein.P0A8M6,protein,tmaR (P0A8M6 #3),false,informative,1
protein.P0A8N0,protein,matP (P0A8N0 #3),false,informative,1
protein.P0A8N3,protein,lysS (P0A8N3 #3),false,informative,1
protein.P0A8N5,protein,lysU (P0A8N5 #3),false,informative,1
protein.P0A8N7,protein,epmA (P0A8N7 #3),false,informative,1
protein.P0A8P6,protein,xerC (P0A8P6 #3),false,informative,1
protein.P0A8P8,protein,xerD (P0A8P8 #3),false,informative,1
protein.P0A8Q0,protein,frdC (P0A8Q0 #3),false,informative,1
protein.P0A8Q3,protein,frdD (P0A8Q3 #3),false,informative,1
protein.P0A8R0,protein,rraA (P0A8R0 #3),false,informative,1
protein.P0A8S1,protein,argP (P0A8S1 #3),false,informative,1
protein.P0A8S9,protein,flhD (P0A8S9 #3),false,informative,1
protein.P0A8T7,protein,rpoC (P0A8T7 #3),false,informative,1
protein.P0A8V0,protein,rbn (P0A8V0 #3),false,informative,1
protein.P0A8V2,protein,rpoB (P0A8V2 #3),false,informative,1
protein.P0A8V6,protein,fadR (P0A8V6 #3),false,informative,1
protein.P0A8W0,protein,nanR (P0A8W0 #3),false,informative,1
protein.P0A8X0,protein,darP,false,informative,1
protein.P0A8Y1,protein,yjjG (P0A8Y1 #3),false,informative,1
protein.P0A8Y3,protein,yihX (P0A8Y3 #3),false,informative,1
protein.P0A8Y5,protein,yidA (P0A8Y5 #3),false,informative,1
protein.P0A8Y8,protein,entH (P0A8Y8 #3),false,informative,1
protein.P0A903,protein,bamC (P0A903 #3),false,informative,1
protein.P0A910,protein,ompA (P0A910 #3),false,informative,1
protein.P0A912,protein,pal (P0A912 #3),false,informative,1
protein.P0A921,protein,pldA (P0A921 #3),false,informative,1
protein.P0A924,protein,pgpB (P0A924 #3),false,informative,1
protein.P0A935,protein,mltA (P0A935 #3),false,informative,1
protein.P0A937,protein,bamE (P0A937 #3),false,informative,1
protein.P0A940,protein,bamA (P0A940 #3),false,informative,1
protein.P0A948,protein,rimJ (P0A948 #3),false,informative,1
protein.P0A951,protein,speG (P0A951 #3),false,informative,1
protein.P0A953,protein,fabB (P0A953 #3),false,informative,1
protein.P0A955,protein,eda (P0A955 #3),false,informative,1
protein.P0A959,protein,alaA (P0A959 #3),false,informative,1
protein.P0A962,protein,ansA (P0A962 #3),false,informative,1
protein.P0A964,protein,cheW (P0A964 #3),false,informative,1
protein.P0A968,protein,cspD (P0A968 #3),false,informative,1
protein.P0A972,protein,cspE (P0A972 #3),false,informative,1
protein.P0A988,protein,dnaN (P0A988 #3),false,informative,1
protein.P0A991,protein,fbaB (P0A991 #3),false,informative,1
protein.P0A993,protein,fbp (P0A993 #3),false,informative,1
protein.P0A998,protein,ftnA (P0A998 #3),false,informative,1
protein.P0A9A6,protein,ftsZ (P0A9A6 #3),false,informative,1
protein.P0A9A9,protein,fur (P0A9A9 #3),false,informative,1
protein.P0A9B2,protein,gapA (P0A9B2 #3),false,informative,1
protein.P0A9B6,protein,epd (P0A9B6 #3),false,informative,1
protein.P0A9C0,protein,glpA (P0A9C0 #3),false,informative,1
protein.P0A9C5,protein,glnA (P0A9C5 #3),false,informative,1
protein.P0A9C9,protein,glpX (P0A9C9 #3),false,informative,1
protein.P0A9D2,protein,gstA (P0A9D2 #3),false,informative,1
protein.P0A9D8,protein,dapD (P0A9D8 #3),false,informative,1
protein.P0A9E0,protein,araC (P0A9E0 #3),false,informative,1
protein.P0A9E5,protein,fnr (P0A9E5 #3),false,informative,1
protein.P0A9G4,protein,cueR (P0A9G4 #3),false,informative,1
protein.P0A9G6,protein,aceA (P0A9G6 #3),false,informative,1
protein.P0A9G8,protein,modE (P0A9G8 #3),false,informative,1
protein.P0A9H3,protein,cadA (P0A9H3 #3),false,informative,1
protein.P0A9H7,protein,cfa (P0A9H7 #3),false,informative,1
protein.P0A9H9,protein,cheZ (P0A9H9 #3),false,informative,1
protein.P0A9J0,protein,rng (P0A9J0 #3),false,informative,1
protein.P0A9J4,protein,panE (P0A9J4 #3),false,informative,1
protein.P0A9J6,protein,rbsK (P0A9J6 #3),false,informative,1
protein.P0A9J8,protein,pheA (P0A9J8 #3),false,informative,1
protein.P0A9K7,protein,phoU (P0A9K7 #3),false,informative,1
protein.P0A9K9,protein,slyD (P0A9K9 #3),false,informative,1
protein.P0A9L3,protein,fklB (P0A9L3 #3),false,informative,1
protein.P0A9M0,protein,lon (P0A9M0 #3),false,informative,1
protein.P0A9M2,protein,hpt (P0A9M2 #3),false,informative,1
protein.P0A9M5,protein,gpt (P0A9M5 #3),false,informative,1
protein.P0A9M8,protein,pta (P0A9M8 #3),false,informative,1
protein.P0A9N4,protein,pflA (P0A9N4 #3),false,informative,1
protein.P0A9N8,protein,nrdG (P0A9N8 #3),false,informative,1
protein.P0A9P0,protein,lpdA,false,informative,1
protein.P0A9P4,protein,trxB (P0A9P4 #3),false,informative,1
protein.P0A9P6,protein,deaD (P0A9P6 #3),false,informative,1
protein.P0A9Q1,protein,arcA (P0A9Q1 #3),false,informative,1
protein.P0A9Q5,protein,accD (P0A9Q5 #3),false,informative,1
protein.P0A9Q7,protein,adhE (P0A9Q7 #3),false,informative,1
protein.P0A9Q9,protein,asd (P0A9Q9 #3),false,informative,1
