# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Gene identifier assigned by RegulonDB
## (2) Gene name
## (3) Blattner number (bnumber) of the gene
## (4) Gene left end position in the genome
## (5) Gene right end position in the genome
## (6) DNA strand where the gene is coded
## (7) Product Id of the gene
## (8) Product name of the gene
## (9) Evidence that supports the existence of the gene
## (10) PMIDs list
## (11) Evidence confidence level (Confirmed, Strong, Weak)
## (12) All bnumber related to gene
## (13) Other database's id  related to gene
1)geneId	2)geneName	3)bnumber	4)leftEndPos	5)rightEndPos	6)strand	7)productId	8)productName	9)geneEvidences	10)genePMIDS	11)confidenceLevel	12)relatedBnumbers	13)otherDbsIds 
RDBECOLIGNC00012	acrD	b2470	2587595	2590708	forward	RDBECOLIPDC00034	multidrug efflux pump RND permease AcrD			None		[ASKA:ECK2465+b2470+JW2454+acrD][KEIO:ECK2465+b2470+JW2454+acrD][STRING:511145.b2470][ASAP:ABE-0008136][ECHOBASE:EB0014][OU-MICROARRAY:b2470][CGSC:35697][ECOCYC:EG10014][REFSEQ:b2470] 
RDBECOLIGNC00013	rodZ	b2516	2641831	2642844	reverse	RDBECOLIPDC00379	cytoskeleton protein RodZ			None		[ASKA:ECK2512+b2516+JW2500+rodZ][STRING:511145.b2516][ASAP:ABE-0008283][ECHOBASE:EB0015][OU-MICROARRAY:b2516][ECOCYC:EG10015][REFSEQ:b2516] 
RDBECOLIGNC00014	garL	b3126	3272787	3273557	reverse	RDBECOLIPDC03417	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase			None		[ASKA:ECK3114+b3126+JW3095+garL][KEIO:ECK3114+b3126+JW3095+garL][STRING:511145.b3126][ASAP:ABE-0010276][ECHOBASE:EB0016][OU-MICROARRAY:b3126][ECOCYC:EG10016][REFSEQ:b3126] 
RDBECOLIGNC00015	ispB	b3187	3333710	3334681	forward	RDBECOLIPDC03916	<i>all-trans</i>-octaprenyl-diphosphate synthase			None		[ASKA:ECK3176+b3187+JW3154+ispB][MIM:614651][STRING:511145.b3187][ASAP:ABE-0010474][ECHOBASE:EB0017][OU-MICROARRAY:b3187][CGSC:35712][ECOCYC:EG10017][REFSEQ:b3187] 
RDBECOLIGNC00016	csrD	b3252	3401392	3403332	reverse	RDBECOLIPDC00380	regulator of CsrB and CsrC decay			None		[ASKA:ECK3240+b3252+JW3221+csrD][KEIO:ECK3240+b3252+JW3221+yhdA][STRING:511145.b3252][ASAP:ABE-0010663][ECHOBASE:EB0018][OU-MICROARRAY:b3252][ECOCYC:EG10018][REFSEQ:b3252] 
RDBECOLIGNC00017	cpxR	b3912	4104972	4105670	reverse	RDBECOLIPDC00270	DNA-binding transcriptional dual regulator CpxR			None		[ASKA:ECK3905+b3912+JW3883+cpxR][KEIO:ECK3905+b3912+JW3883+cpxR][STRING:511145.b3912][ASAP:ABE-0012774][ECHOBASE:EB0019][OU-MICROARRAY:b3912][CGSC:34166][ECOCYC:EG10020][REFSEQ:b3912] 
RDBECOLIGNC00018	yjiA	b4352	4587909	4588865	reverse	RDBECOLIPDC00381	P-loop guanosine triphosphatase YjiA			None		[ASKA:ECK4342+b4352+JW5790+yjiA][KEIO:ECK4342+b4352+JW5790+yjiA][STRING:511145.b4352][ASAP:ABE-0014273][ECHOBASE:EB0020][OU-MICROARRAY:b4352][ECOCYC:EG10021][REFSEQ:b4352] 
RDBECOLIGNC00019	aceA	b4015	4217109	4218413	forward	RDBECOLIPDC03414	isocitrate lyase		3049537|3290857	None		[ASKA:ECK4007+b4015+JW3975+aceA][KEIO:ECK4007+b4015+JW3975+aceA][STRING:511145.b4015][ASAP:ABE-0013128][ECHOBASE:EB0021][OU-MICROARRAY:b4015][CGSC:1052][ECOCYC:EG10022][REFSEQ:b4015] 
RDBECOLIGNC00020	aceB	b4014	4215478	4217079	forward	RDBECOLIPDC03465	malate synthase A		3050899|3060852	None		[ASKA:ECK4006+b4014+JW3974+aceB][KEIO:ECK4006+b4014+JW3974+aceB][STRING:511145.b4014][ASAP:ABE-0013125][ECHOBASE:EB0022][OU-MICROARRAY:b4014][CGSC:1051][ECOCYC:EG10023][REFSEQ:b4014] 
RDBECOLIGNC00021	aceE	b0114	123017	125680	forward	RDBECOLIPDC00370	pyruvate dehydrogenase E1 component			None		[ASKA:ECK0113+b0114+JW0110+aceE][KEIO:ECK0113+b0114+JW0110+aceE][STRING:511145.b0114][ASAP:ABE-0000397][ECHOBASE:EB0023][OU-MICROARRAY:b0114][CGSC:1050][ECOCYC:EG10024][REFSEQ:b0114] 
RDBECOLIGNC00022	aceF	b0115	125695	127587	forward	RDBECOLIPDC00372	pyruvate dehydrogenase E2 subunit			None		[ASKA:ECK0114+b0115+JW0111+aceF][KEIO:ECK0114+b0115+JW0111+aceF][MIM:248600][STRING:511145.b0115][ASAP:ABE-0000400][ECHOBASE:EB0024][OU-MICROARRAY:b0115][CGSC:26530][ECOCYC:EG10025][REFSEQ:b0115] 
RDBECOLIGNC00023	aceK	b4016	4218596	4220332	forward	RDBECOLIPDC03404	isocitrate dehydrogenase kinase/phosphatase			None		[ASKA:ECK4008+b4016+JW3976+aceK][KEIO:ECK4008+b4016+JW3976+aceK][STRING:511145.b4016][ASAP:ABE-0013131][ECHOBASE:EB0025][OU-MICROARRAY:b4016][CGSC:17770][ECOCYC:EG10026][REFSEQ:b4016] 
RDBECOLIGNC00024	ackA	b2296	2413470	2414672	forward	RDBECOLIPDC00022	acetate kinase		2536666	None		[ASKA:ECK2290+b2296+JW2293+ackA][KEIO:ECK2290+b2296+JW2293+ackA][STRING:511145.b2296][ASAP:ABE-0007579][ECHOBASE:EB0026][OU-MICROARRAY:b2296][CGSC:1048][ECOCYC:EG10027][REFSEQ:b2296] 
RDBECOLIGNC00025	pflA	b0902	950340	951080	reverse	RDBECOLIPDC04013	pyruvate formate-lyase activating enzyme			None		[ASKA:ECK0893+b0902+JW0885+pflA][STRING:511145.b0902][ASAP:ABE-0003068][ECHOBASE:EB0027][OU-MICROARRAY:b0902][CGSC:35839][ECOCYC:EG10028][REFSEQ:b0902] 
RDBECOLIGNC00026	ada	b2213	2309341	2310405	reverse	RDBECOLIPDC03940	DNA-binding transcriptional dual regulator / DNA repair protein Ada			None		[ASKA:ECK2205+b2213+JW2201+ada][STRING:511145.b2213][ASAP:ABE-0007311][ECHOBASE:EB0028][OU-MICROARRAY:b2213][CGSC:1043][ECOCYC:EG10029][REFSEQ:b2213] 
RDBECOLIGNC00027	add	b1623	1702233	1703234	forward	RDBECOLIPDC00042	adenosine deaminase		1998686|765747	None		[ASKA:ECK1618+b1623+JW1615+add][KEIO:ECK1618+b1623+JW1615+add][MIM:102700][STRING:511145.b1623][ASAP:ABE-0005435][ECHOBASE:EB0029][OU-MICROARRAY:b1623][CGSC:1042][ECOCYC:EG10030][REFSEQ:b1623] 
RDBECOLIGNC00028	adhE	b1241	1295446	1298121	reverse	RDBECOLIPDC00049	fused acetaldehyde-CoA dehydrogenase and Fe-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE		10572146|10601216|1744060|2695398|8423158	None		[ASKA:ECK1235+b1241+JW1228+adhE][KEIO:ECK1235+b1241+JW1228+adhE][STRING:511145.b1241][ASAP:ABE-0004164][ECHOBASE:EB0030][OU-MICROARRAY:b1241][CGSC:1041][ECOCYC:EG10031][REFSEQ:b1241] 
RDBECOLIGNC00029	adk	b0474	497175	497819	forward	RDBECOLIPDC00044	adenylate kinase			None		[ASKA:ECK0468+b0474+JW0463+adk][MIM:267500][STRING:511145.b0474][ASAP:ABE-0001645][ECHOBASE:EB0031][OU-MICROARRAY:b0474][CGSC:1040][ECOCYC:EG10032][REFSEQ:b0474] 
RDBECOLIGNC00030	agp	b1002	1065585	1066826	forward	RDBECOLIPDC03307	glucose-1-phosphatase		2153660|2542226|2844729	None		[ASKA:ECK0993+b1002+JW0987+agp][KEIO:ECK0993+b1002+JW0987+agp][STRING:511145.b1002][ASAP:ABE-0003388][ECHOBASE:EB0032][OU-MICROARRAY:b1002][CGSC:31830][ECOCYC:EG10033][REFSEQ:b1002] 
RDBECOLIGNC00031	alaS	b2697	2819381	2822011	reverse	RDBECOLIPDC00063	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor			None		[ASKA:ECK2692+b2697+JW2667+alaS][MIM:616339][STRING:511145.b2697][ASAP:ABE-0008869][ECHOBASE:EB0033][OU-MICROARRAY:b2697][CGSC:1039][ECOCYC:EG10034][REFSEQ:b2697] 
RDBECOLIGNC00032	aldA	b1415	1488232	1489671	forward	RDBECOLIPDC03435	aldehyde dehydrogenase A			None		[ASKA:ECK1408+b1415+JW1412+aldA][KEIO:ECK1408+b1415+JW1412+aldA][STRING:511145.b1415][ASAP:ABE-0004725][ECHOBASE:EB0034][OU-MICROARRAY:b1415][CGSC:17767][ECOCYC:EG10035][REFSEQ:b1415] 
RDBECOLIGNC00033	puuC	b1300	1362743	1364230	forward	RDBECOLIPDC00065	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase			None		[ASKA:ECK1295+b1300+JW1293+puuC][KEIO:ECK1295+b1300+JW1293+puuC][STRING:511145.b1300][ASAP:ABE-0004376][ECHOBASE:EB0035][OU-MICROARRAY:b1300][ECOCYC:EG10036][REFSEQ:b1300] 
RDBECOLIGNC00034	alkB	b2212	2308691	2309341	reverse	RDBECOLIPDC00382	DNA oxidative demethylase			None		[ASKA:ECK2204+b2212+JW2200+alkB][KEIO:ECK2204+b2212+JW2200+alkB][STRING:511145.b2212][ASAP:ABE-0007308][ECHOBASE:EB0036][OU-MICROARRAY:b2212][CGSC:18544][ECOCYC:EG10037][REFSEQ:b2212] 
RDBECOLIGNC00035	amn	b1982	2055061	2056515	forward	RDBECOLIPDC00075	AMP nucleosidase		2690948|6327703	None		[ASKA:ECK1977+b1982+JW1963+amn][KEIO:ECK1977+b1982+JW1963+amn][STRING:511145.b1982][ASAP:ABE-0006579][ECHOBASE:EB0037][OU-MICROARRAY:b1982][CGSC:17764][ECOCYC:EG10039][REFSEQ:b1982] 
RDBECOLIGNC00036	ampC	b4150	4377811	4378944	reverse	RDBECOLIPDC00383	&beta;-lactamase			None		[ASKA:ECK4146+b4150+JW4111+ampC][KEIO:ECK4146+b4150+JW4111+ampC][STRING:511145.b4150][ASAP:ABE-0013592][ECHOBASE:EB0038][OU-MICROARRAY:b4150][CGSC:1033][ECOCYC:EG10040][REFSEQ:b4150] 
RDBECOLIGNC00037	ampD	b0110	118733	119284	forward	RDBECOLIPDC00384	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase			None		[ASKA:ECK0109+b0110+JW0106+ampD][STRING:511145.b0110][ASAP:ABE-0000380][ECHOBASE:EB0039][OU-MICROARRAY:b0110][CGSC:30478][ECOCYC:EG10041][REFSEQ:b0110] 
RDBECOLIGNC00038	ampE	b0111	119281	120135	forward	RDBECOLIPDC00385	protein AmpE			None		[ASKA:ECK0110+b0111+JW0107+ampE][KEIO:ECK0110+b0111+JW0107+ampE][STRING:511145.b0111][ASAP:ABE-0000382][ECHOBASE:EB0040][OU-MICROARRAY:b0111][CGSC:30481][ECOCYC:EG10042][REFSEQ:b0111] 
RDBECOLIGNC00039	cysQ	b4214	4436755	4437495	forward	RDBECOLIPDC00386	3'(2'),5'-bisphosphate nucleotidase			None		[ASKA:ECK4210+b4214+JW4172+cysQ][KEIO:ECK4210+b4214+JW4172+cysQ][STRING:511145.b4214][ASAP:ABE-0013786][ECHOBASE:EB0041][OU-MICROARRAY:b4214][CGSC:34409][ECOCYC:EG10043][REFSEQ:b4214] 
RDBECOLIGNC00040	osmE	b1739	1821918	1822256	reverse	RDBECOLIPDC00387	osmotically-inducible lipoprotein OsmE			None		[ASKA:ECK1737+b1739+JW1728+osmE][KEIO:ECK1737+b1739+JW1728+osmE][STRING:511145.b1739][ASAP:ABE-0005799][ECHOBASE:EB0042][OU-MICROARRAY:b1739][CGSC:36628][ECOCYC:EG10044][REFSEQ:b1739] 
RDBECOLIGNC00041	ansA	b1767	1850860	1851876	forward	RDBECOLIPDC00082	L-asparaginase 1			None		[ASKA:ECK1765+b1767+JW1756+ansA][KEIO:ECK1765+b1767+JW1756+ansA][STRING:511145.b1767][ASAP:ABE-0005886][ECHOBASE:EB0043][OU-MICROARRAY:b1767][CGSC:1030][ECOCYC:EG10045][REFSEQ:b1767] 
RDBECOLIGNC00042	ansB	b2957	3099682	3100728	reverse	RDBECOLIPDC00083	L-asparaginase 2			None		[ASKA:ECK2952+b2957+JW2924+ansB][KEIO:ECK2952+b2957+JW2924+ansB][STRING:511145.b2957][ASAP:ABE-0009700][ECHOBASE:EB0044][OU-MICROARRAY:b2957][CGSC:30045][ECOCYC:EG10046][REFSEQ:b2957] 
RDBECOLIGNC00043	apaG	b0050	51229	51606	reverse	RDBECOLIPDC00388	DUF525 domain-containing protein ApaG			None		[ASKA:ECK0051+b0050+JW0049+apaG][KEIO:ECK0051+b0050+JW0049+apaG][STRING:511145.b0050][ASAP:ABE-0000169][ECHOBASE:EB0045][OU-MICROARRAY:b0050][CGSC:30310][ECOCYC:EG10047][REFSEQ:b0050] 
RDBECOLIGNC00044	apaH	b0049	50380	51222	reverse	RDBECOLIPDC00389	diadenosine tetraphosphatase			None		[ASKA:ECK0050+b0049+JW0048+apaH][KEIO:ECK0050+b0049+JW0048+apaH][STRING:511145.b0049][ASAP:ABE-0000167][ECHOBASE:EB0046][OU-MICROARRAY:b0049][CGSC:17761][ECOCYC:EG10048][REFSEQ:b0049] 
RDBECOLIGNC00045	appA	b0980	1040617	1041915	forward	RDBECOLIPDC00088	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase			None		[ASKA:ECK0971+b0980+JW0963+appA][KEIO:ECK0971+b0980+JW0963+appA][STRING:511145.b0980][ASAP:ABE-0003305][ECHOBASE:EB0047][OU-MICROARRAY:b0980][CGSC:17758][ECOCYC:EG10049][REFSEQ:b0980] 
RDBECOLIGNC00046	appY	b0564	583681	584430	forward	RDBECOLIPDC03976	DLP12 prophage; DNA-binding transcriptional activator AppY			None		[ASKA:ECK0556+b0564+JW0553+appY][KEIO:ECK0556+b0564+JW0553+appY][STRING:511145.b0564][ASAP:ABE-0001929][ECHOBASE:EB0048][ECOO157CYC:Z0321][OU-MICROARRAY:b0564][CGSC:31146][ECOCYC:EG10050][REFSEQ:b0564] 
RDBECOLIGNC00047	apt	b0469	491412	491963	forward	RDBECOLIPDC00043	adenine phosphoribosyltransferase		3527873	None		[ASKA:ECK0463+b0469+JW0458+apt][KEIO:ECK0463+b0469+JW0458+apt][MIM:614723][STRING:511145.b0469][ASAP:ABE-0001628][ECHOBASE:EB0049][OU-MICROARRAY:b0469][CGSC:1029][ECOCYC:EG10051][REFSEQ:b0469] 
RDBECOLIGNC00048	araA	b0062	66835	68337	reverse	RDBECOLIPDC00092	L-arabinose isomerase			None		[ASKA:ECK0063+b0062+JW0061+araA][STRING:511145.b0062][ASAP:ABE-0000221][ECHOBASE:EB0050][OU-MICROARRAY:b0062][CGSC:1028][ECOCYC:EG10052][REFSEQ:b0062] 
RDBECOLIGNC00049	araB	b0063	68348	70048	reverse	RDBECOLIPDC04131	ribulokinase			None		[ASKA:ECK0064+b0063+JW0062+araB][MIM:105400][STRING:511145.b0063][ASAP:ABE-0000223][ECHOBASE:EB0051][OU-MICROARRAY:b0063][CGSC:1027][ECOCYC:EG10053][REFSEQ:b0063] 
RDBECOLIGNC00050	araC	b0064	70387	71265	forward	RDBECOLIPDC03943	DNA-binding transcriptional dual regulator AraC			None		[ASKA:ECK0065+b0064+JW0063+araC][KEIO:ECK0065+b0064+JW0063+araC][STRING:511145.b0064][ASAP:ABE-0000236][ECHOBASE:EB0052][OU-MICROARRAY:b0064][CGSC:1026][ECOCYC:EG10054][REFSEQ:b0064] 
RDBECOLIGNC00051	araD	b0061	65855	66550	reverse	RDBECOLIPDC04133	L-ribulose-5-phosphate 4-epimerase AraD			None		[ASKA:ECK0062+b0061+JW0060+araD][STRING:511145.b0061][ASAP:ABE-0000209][ECHOBASE:EB0053][OU-MICROARRAY:b0061][CGSC:1025][ECOCYC:EG10055][REFSEQ:b0061] 
RDBECOLIGNC00052	araE	b2841	2980764	2982182	reverse	RDBECOLIPDC00093	arabinose:H<sup>+</sup> symporter			None		[ASKA:ECK2839+b2841+JW2809+araE][KEIO:ECK2839+b2841+JW2809+araE][STRING:511145.b2841][ASAP:ABE-0009319][ECHOBASE:EB0054][OU-MICROARRAY:b2841][CGSC:1024][ECOCYC:EG10056][REFSEQ:b2841] 
RDBECOLIGNC00053	araF	b1901	1985139	1986128	reverse	RDBECOLIPDC00094	arabinose ABC transporter periplasmic binding protein			None		[ASKA:ECK1899+b1901+JW1889+araF][KEIO:ECK1899+b1901+JW1889+araF][STRING:511145.b1901][ASAP:ABE-0006330][ECHOBASE:EB0055][OU-MICROARRAY:b1901][CGSC:1023][ECOCYC:EG10057][REFSEQ:b1901] 
RDBECOLIGNC00054	araG	b1900	1983555	1985069	reverse	RDBECOLIPDC00095	arabinose ABC transporter ATP binding subunit			None		[ASKA:ECK1898+b1900+JW1888+araG][KEIO:ECK1898+b1900+JW1888+araG][STRING:511145.b1900][ASAP:ABE-0006328][ECHOBASE:EB0056][OU-MICROARRAY:b1900][CGSC:1022][ECOCYC:EG10058][REFSEQ:b1900] 
RDBECOLIGNC00055	araH	b4460	1982554	1983540	reverse	RDBECOLIPDC00096	arabinose ABC transporter membrane subunit			None	b1898|b1899	[ASKA:b1899+b1898+b4460+araH][KEIO:ECK1897+b4460+JW1887+araH][STRING:511145.b4460][ASAP:ABE-0174093][ECHOBASE:EB0057][CGSC:18535][OU-MICROARRAY:b1899][ECOCYC:EG10059][REFSEQ:b4460] 
RDBECOLIGNC00056	araJ	b0396	411297	412481	reverse	RDBECOLIPDC00097	putative transport protein AraJ			None		[ASKA:ECK0390+b0396+JW0386+araJ][KEIO:ECK0390+b0396+JW0386+araJ][STRING:511145.b0396][ASAP:ABE-0001378][ECHOBASE:EB0058][OU-MICROARRAY:b0396][CGSC:29861][ECOCYC:EG10060][REFSEQ:b0396] 
RDBECOLIGNC00057	arcA	b4401	4639590	4640306	reverse	RDBECOLIPDC00098	DNA-binding transcriptional dual regulator ArcA			None		[ASKA:ECK4393+b4401+JW4364+arcA][KEIO:ECK4393+b4401+JW4364+arcA][STRING:511145.b4401][ASAP:ABE-0014434][ECHOBASE:EB0059][OU-MICROARRAY:b4401][CGSC:831][ECOCYC:EG10061][REFSEQ:b4401] 
RDBECOLIGNC00058	arcB	b3210	3350689	3353025	reverse	RDBECOLIPDC00099	sensor histidine kinase ArcB			None		[ASKA:ECK3200+b3210+JW5536+arcB][KEIO:ECK3200+b3210+JW5536+arcB][STRING:511145.b3210][ASAP:ABE-0010537][ECHOBASE:EB0060][OU-MICROARRAY:b3210][CGSC:29063][ECOCYC:EG10062][REFSEQ:b3210] 
RDBECOLIGNC00059	argA	b2818	2949242	2950573	forward	RDBECOLIPDC03835	N-acetylglutamate synthase			None		[ASKA:ECK2814+b2818+JW2786+argA][KEIO:ECK2814+b2818+JW2786+argA][STRING:511145.b2818][NCBI-GENE:947289][ASAP:ABE-0009245][ECHOBASE:EB0061][CGSC:1021][OU-MICROARRAY:b2818][ECOCYC:EG10063][REFSEQ:b2818] 
RDBECOLIGNC00060	argB	b3959	4156013	4156789	forward	RDBECOLIPDC00026	acetylglutamate kinase			None		[ASKA:ECK3950+b3959+JW5553+argB][KEIO:ECK3950+b3959+JW5553+argB][STRING:511145.b3959][NCBI-GENE:948464][ASAP:ABE-0012967][ECHOBASE:EB0062][CGSC:1020][OU-MICROARRAY:b3959][ECOCYC:EG10064][REFSEQ:b3959] 
RDBECOLIGNC00061	argC	b3958	4155001	4156005	forward	RDBECOLIPDC03834	N-acetylglutamylphosphate reductase			None		[ASKA:ECK3949+b3958+JW3930+argC][KEIO:ECK3949+b3958+JW3930+argC][STRING:511145.b3958][NCBI-GENE:948455][ASAP:ABE-0012964][ECHOBASE:EB0063][CGSC:1019][OU-MICROARRAY:b3958][ECOCYC:EG10065][REFSEQ:b3958] 
RDBECOLIGNC00062	argD	b3359	3488960	3490180	reverse	RDBECOLIPDC00028	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase		10074354|2199330	None		[ASKA:ECK3347+b3359+JW3322+argD][KEIO:ECK3347+b3359+JW3322+argD][MIM:258870][STRING:511145.b3359][NCBI-GENE:947864][ASAP:ABE-0010976][ECHOBASE:EB0064][ENTREZ:M32796][OU-MICROARRAY:b3359][CGSC:1018][ECOCYC:EG10066][REFSEQ:b3359] 
RDBECOLIGNC00063	argF	b0273	289301	290305	reverse	RDBECOLIPDC00241	CP4-6 prophage; ornithine carbamoyltransferase ArgF			None		[ASKA:ECK0274+b0273+JW0266+argF][KEIO:ECK0274+b0273+JW0266+argF][STRING:511145.b0273][NCBI-GENE:944844][ASAP:ABE-0000939][ECHOBASE:EB0065][OU-MICROARRAY:b0273][CGSC:1016][ECOCYC:EG10067][REFSEQ:b0273] 
RDBECOLIGNC00064	argG	b3172	3318637	3319980	forward	RDBECOLIPDC00105	argininosuccinate synthetase			None		[ASKA:ECK3161+b3172+JW3140+argG][KEIO:ECK3161+b3172+JW3140+argG][MIM:215700][STRING:511145.b3172][NCBI-GENE:947590][ASAP:ABE-0010428][ECHOBASE:EB0066][OU-MICROARRAY:b3172][CGSC:1015][ECOCYC:EG10068][REFSEQ:b3172] 
