# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) sigmaName. Sigma Name
## (2) regulatedName. TU regulated by the Sigma Factor (regulated TU)
## (3) function. Regulatory Function of the Sigma on the regulated TU (+ activator, - repressor, -+ dual, ? unknown)
## (4)promoterEvidences. Evidence that supports the regulation the sigma on the promoter and the promoter evidences
## (5) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)sigmaName	2)regulatedName	3)function	4)promoterEvidence	5)confidenceLevel 
sigma24	cyaR[cyaRp2]	+	[COMP-HINF,EXP-IDA,EXP-IEP,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	C 
sigma24	degP[degPp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma24	dolP[dolPp1]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	dolP[dolPp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	dsbC-recJ-prfB[dsbCp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	dsbC[dsbCp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	ecpR[ecpRp]	+	[COMP-AINF]	W 
sigma24	eptB[eptBp2]	+	[EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF]	S 
sigma24	essD-ybcS-rzpD[essDp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,EXP-IEP,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EV-EXP-IDA-IN-VITRO-TRANSCRIPTION,EXP-IPI]	S 
sigma24	fadM[fadMp1]	+	[COMP-AINF]	W 
sigma24	fkpA[fkpAp1]	+	[COMP-HINF,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF-POSITIONAL-IDENTIFICATION]	S 
sigma24	ftnB[ftnBp1]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	fusA-tufA[fusAp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	greA[greAp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,EXP-IDA,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS]	S 
sigma24	gspAB[gspAp4]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	hcp-hcr[hcpp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	hlpA-lpxD-fabZ-lpxA[hlpAp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	hokE[hokEp]	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma24	htrG-cca[ygiMp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	ibaG[ibaGp2]	+	[COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma24	imp-surA-pdxA[impp3]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	insK[insKp]	+	[COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma24	lgoR[lgoRp4]	+	[COMP-AINF]	W 
sigma24	lhr[lhrp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	lptAB-rpoN-hpf-ptsN-rapZ-npr[lptAp1]	+	[EXP-IMP,EXP-IEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	lptAB[lptAp1]	+	[EXP-IMP,EXP-IEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	lptB-rpoN-hpf-ptsN-yhbJ[lptBp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	lpxD[lpxDp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	lpxP[lpxPp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	malQ[malQp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	mdoGH[opgGp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,EXP-IDA]	S 
sigma24	micA[micAp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma24	micL[micLp1]	+	[COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	narWV[narWp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	phoQ[phoQp5]	+	[COMP-AINF]	W 
sigma24	plsB[plsBp1]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,EXP-IMP,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IEP]	S 
sigma24	psd-mscM[psdp]	+	[EXP-IEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	rclABC[rclAp]	+	[COMP-AINF]	W 
sigma24	rfaDFCL[rfaDp4]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	rnlB[rnlBp1]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	rpoD[rpoDp4]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	rpoE-rseABC[rpoEp]	+	[EXP-IDA,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma24	rpoH[rpoHp3]	+	[EXP-IDA,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF-POSITIONAL-IDENTIFICATION]	S 
sigma24	rseABC[rseAp3]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	rseP[rsePp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	rutR[rutRp1]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	rybB[rybBp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA]	S 
sigma24	sbmA-yaiW[sbmAp]	+	[EXP-IEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	sixA[sixAp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,EXP-IDA]	S 
sigma24	stfZ[stfZp3]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IMP]	W 
sigma24	surA-pdxA-rsmA-apaGH[surAp]	+	[AS-NAS,EXP-TAS]	W 
sigma24	wzbc[wzap2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	ybaB-recR[ybaBp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	ybfHG[ybfHp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	ydhIJK[ydhIp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	ydiV[ydiVp]	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma24	yeaY[yeaYp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yfeKS[yfeKp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	yfeYX[yfeYp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yggN[yggNp1]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yggN[yggNp2]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yghF[yghFp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	ygiM[ygiMp1]	+	[EXP-IEP,COMP-HINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yhjJ[yhjJp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	yiaKLMNO-lyx-sgbHUE[yiaKp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	yicJI[yicJp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	yidQ[yidQp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yieEF[yieEp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	yiiS-uspD[yiiSp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	yoaC[yoaCp1]	+	[COMP-AINF]	W 
sigma24	yqjA-mzrA[yqjAp2]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	ytfJ[ytfJp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma28	aer[aerp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF,EXP-IMP,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma28	flgK[flgKp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-CHIP-SEQ-MANUAL,EXP-IDA,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF]	W 
sigma28	flgMN[flgMp]	+	[EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-CHIP-SEQ-MANUAL,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF]	W 
sigma28	fliAZY[fliAp2]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma28	fliCX[fliCp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-CHIP-SEQ-MANUAL,EXP-IEP,EXP-IDA,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING]	S 
sigma28	fliDST[fliDp1]	+	[EXP-CHIP-SEQ-MANUAL,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING]	S 
sigma28	fliE[fliEp2]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	fliFGHIJK[fliFp2]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	fliLMNOPQR[fliLp2]	+	[EXP-CHIP-SEQ-MANUAL,EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma28	flxA[flxAp]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	hemL[hemLp1]	+	[COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IEP]	W 
sigma28	hemL[hemLp2]	+	[COMP-HINF,EXP-IEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	hemL[hemLp]	+	[EXP-IEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma28	lolB-ispE-prs[lolBp]	+	[COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	modABC[modAp1]	+	[COMP-HINF,EXP-IEP,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	motRAB-cheAW[motRp]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,EXP-IEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF]	W 
sigma28	oppABCDF[oppAp]	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,AS-NAS]	W 
sigma28	ppdAB-ygdB-ppdC-recC[ppdAp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF]	W 
sigma28	rdcAB[rdcAp1]	+	[COMP-HINF,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	rdcAB[rdcAp2]	+	[COMP-HINF,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	tar-tap-cheRBYZ[tarp]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma28	trg[trgp]	+	[COMP-HINF,EXP-IDA,EXP-CHIP-SEQ-MANUAL,HTP-HEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma28	tsr[tsrp2]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma28	ves[vesp]	+	[COMP-HINF,EXP-IEP,EXP-CHIP-SEQ-MANUAL,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma28	ycgR[ycgRp]	+	[EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	yecF[yecFp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	ygbK[ygbKp]	+	[EXP-CHIP-SEQ-MANUAL,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF]	W 
sigma28	yhiL[yhiLp]	+	[COMP-HINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	yhjH[yhjHp]	+	[COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IEP,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	yjcS[yjcSp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	ykfBF-yafX-ykfGH-yafW-ykfI[ykfBp1]	+	[COMP-HINF,EXP-IEP,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma28	ykfBF-yafX-ykfGH-yafW-ykfI[ykfBp2]	+	[COMP-HINF,EXP-IEP,EXP-CHIP-SEQ-MANUAL,HTP-HEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
