# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon Id containing the transcription unit
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenes. Name of the gene(s) contained in the transcription unit
## (6) promoterId. Promoter Id
## (7) promoterName. Promoter Name
## (8) terminatorIds. Ids of the terminators associated to transcription unit
## (9) tuEvidence. Evidence that supports the existence of the transcription unit
## (10) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (11) confidenceLevel. TU confidence level (Values: Confirmed, Strong, Weak)
## (12) PMIDs. PMIDs associated to object
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenes	6)promoterId	7)promoterName	8)terminatorIds	9)tuEvidence	10)addEvidence	11)confidenceLevel	12)PMIDs 
RDBECOLITUC00032	lhr	RDBECOLIOPC02704	rnt-lhr	lhr	RDBECOLIPMC00032	lhrp	RDBECOLITMC00126	EXP-IDA-BOUNDARIES-DEFINED:W		W	16336047;7559321 
RDBECOLITUC00033	rnlB	RDBECOLIOPC02938	rnlAB	rnlB	RDBECOLIPMC00033	rnlBp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	16336047 
RDBECOLITUC00034	gspAB	RDBECOLIOPC02818	gspAB	gspB;gspA	RDBECOLIPMC00034	gspAp4		COMP-AINF:W		W	 
RDBECOLITUC00035	yicJI	RDBECOLIOPC00875	yicJI	yicI;yicJ	RDBECOLIPMC00035	yicJp		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
RDBECOLITUC00036	ahpF	RDBECOLIOPC02872	ahpCF	ahpF	RDBECOLIPMC00036	ahpFp		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
RDBECOLITUC00037	ftnB	RDBECOLIOPC02414	ftnB	ftnB	RDBECOLIPMC00037	ftnBp1				None	 
RDBECOLITUC00038	bglA	RDBECOLIOPC01490	bglA	bglA				COMP-AINF-SINGLE-DIRECTON:W		W	 
RDBECOLITUC00039	ytfE	RDBECOLIOPC00646	ytfE	ytfE	RDBECOLIPMC00038	ytfEp		EXP-IDA-BOUNDARIES-DEFINED:W;IC:W		W	 
RDBECOLITUC00040	ygbA	RDBECOLIOPC00464	ygbA	ygbA	RDBECOLIPMC00039	ygbAp		COMP-AINF-SINGLE-DIRECTON:W;EXP-IDA-BOUNDARIES-DEFINED:W	AE(COMP-AINF-SINGLE-DIRECTON/EXP-IDA-BOUNDARIES-DEFINED):S	S	 
RDBECOLITUC00041	cysG	RDBECOLIOPC01182	nirBDC-cysG	cysG	RDBECOLIPMC00439	cysGp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	2200673 
RDBECOLITUC00042	astCADBE	RDBECOLIOPC02690	astCADBE	astE;astB;astD;astA;astC	RDBECOLIPMC00380	astCp1		EXP-IDA-BOUNDARIES-DEFINED:W;EXP-IEP:W;EXP-IEP-COREGULATION:W		W	9696779 
RDBECOLITUC00043	astCADBE	RDBECOLIOPC02690	astCADBE	astE;astB;astD;astA;astC	RDBECOLIPMC00381	astCp2		EXP-IDA-BOUNDARIES-DEFINED:W;EXP-IEP:W;EXP-IEP-COREGULATION:W		W	9696779 
RDBECOLITUC00044	astCADBE	RDBECOLIOPC02690	astCADBE	astE;astB;astD;astA;astC	RDBECOLIPMC00382	astCp3		EXP-IDA-BOUNDARIES-DEFINED:W;EXP-IEP:W;EXP-IEP-COREGULATION:W		W	9696779 
RDBECOLITUC00045	pyrH	RDBECOLIOPC00085	pyrH	pyrH	RDBECOLIPMC00383	pyrHp		COMP-AINF:W		W	 
RDBECOLITUC00046	nrdHIEF	RDBECOLIOPC00520	nrdHIEF	nrdH;nrdI;nrdE;nrdF	RDBECOLIPMC00384	nrdHp		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	8820648;31823602;21338418 
RDBECOLITUC00047	cpxPQ	RDBECOLIOPC02114	cpxPQ	cpxP;cpxQ	RDBECOLIPMC00385	cpxPp	RDBECOLITMC00262	EXP-IDA-BOUNDARIES-DEFINED:W		W	9473036;32385082;23421615;29497416 
RDBECOLITUC00048	srkA-dsbA	RDBECOLIOPC02634	srkA-dsbA	srkA;dsbA	RDBECOLIPMC00386	srkAp		EXP-IDA-BOUNDARIES-DEFINED:W;EXP-IMP-POLAR-MUTATION:S		S	7881552 
RDBECOLITUC00049	dsbA	RDBECOLIOPC02634	srkA-dsbA	dsbA	RDBECOLIPMC00387	dsbAp		EXP-IDA-BOUNDARIES-DEFINED:W		W	7881552 
RDBECOLITUC00050	fkpA	RDBECOLIOPC00817	fkpA	fkpA	RDBECOLIPMC03786	fkpAp1		EXP-IEP:W		W	16336047;31964733 
RDBECOLITUC00051	fkpA	RDBECOLIOPC00817	fkpA	fkpA	RDBECOLIPMC03787	fkpAp2		EXP-IEP:W;COMP-AINF:W		W	16336047;31964733 
RDBECOLITUC00052	aqpZ	RDBECOLIOPC00123	aqpZ	aqpZ				EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	9520416 
RDBECOLITUC00053	dmsABC	RDBECOLIOPC02316	dmsABC	dmsA;dmsB;dmsC	RDBECOLIPMC00388	dmsAp2				None	3062312;7961411;8576043;11287152 
RDBECOLITUC00054	moaABCDE	RDBECOLIOPC02723	moaABCDE	moaA;moaB;moaC;moaD;moaE	RDBECOLIPMC00390	moaAp2				None	8361352;9044285;40049517 
RDBECOLITUC00055	ptsG	RDBECOLIOPC02712	ptsG	ptsG	RDBECOLIPMC00391	ptsGp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	9767573;15988767;21272324;11340070;11432845;18402772;23274360;15522088 
RDBECOLITUC00056	ptsG	RDBECOLIOPC02712	ptsG	ptsG	RDBECOLIPMC00392	ptsGp2		EXP-IDA-BOUNDARIES-DEFINED:W		W	9767573;15988767;21272324;11340070;11432845;18402772;23274360;15522088 
RDBECOLITUC00057	grcA	RDBECOLIOPC02365	grcA	grcA	RDBECOLIPMC00393	grcAp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	9767578;23274360;21272324 
RDBECOLITUC00058	ldcC	RDBECOLIOPC00228	ldcC	ldcC	RDBECOLIPMC00394	ldcCp		EXP-IDA-BOUNDARIES-DEFINED:W;EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	9339543;9534244;9692215;34543694 
RDBECOLITUC00059	rrsA-ileT-alaT-rrlA-rrfA	RDBECOLIOPC02755	rrsA-ileT-alaT-rrlA-rrfA	rrsA;ileT;alaT;rrlA;rrfA	RDBECOLIPMC00395	rrsAp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00060	rrsB-gltT-rrlB-rrfB	RDBECOLIOPC02814	rrsB-gltT-rrlB-rrfB	rrsB;gltT;rrlB;rrfB	RDBECOLIPMC03736	rrsBp1	RDBECOLITMC00087,RDBECOLITMC00086	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;24411237;15590778;2434021;8531889;7517053;32840734;35552441;30720429 
RDBECOLITUC00061	rrsC-gltU-rrlC-rrfC	RDBECOLIOPC02864	rrsC-gltU-rrlC-rrfC	rrsC;gltU;rrlC;rrfC	RDBECOLIPMC00396	rrsCp1	RDBECOLITMC00088	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00062	rrsC-gltU-rrlC-rrfC	RDBECOLIOPC02864	rrsC-gltU-rrlC-rrfC	rrsC;gltU;rrlC;rrfC	RDBECOLIPMC00397	rrsCp2	RDBECOLITMC00088	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;31964733;8531889;7517053;35552441 
RDBECOLITUC00063	rrsE-gltV-rrlE-rrfE	RDBECOLIOPC01426	rrsE-gltV-rrlE-rrfE	rrsE;gltV;rrlE;rrfE	RDBECOLIPMC00398	rrsEp1	RDBECOLITMC00227	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00064	rrsG-gltW-rrlG-rrfG	RDBECOLIOPC02906	rrsG-gltW-rrlG-rrfG	rrfG;rrlG;gltW;rrsG	RDBECOLIPMC00399	rrsGp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00065	rrsG-gltW-rrlG-rrfG	RDBECOLIOPC02906	rrsG-gltW-rrlG-rrfG	rrfG;rrlG;gltW;rrsG	RDBECOLIPMC00400	rrsGp2		EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00066	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIOPC01626	rrsH-ileV-alaV-rrlH-rrfH	rrsH;ileV;alaV;rrlH;rrfH	RDBECOLIPMC00401	rrsHp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00067	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIOPC01626	rrsH-ileV-alaV-rrlH-rrfH	rrsH;ileV;alaV;rrlH;rrfH	RDBECOLIPMC00402	rrsHp2		EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00068	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	RDBECOLIOPC02896	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF;thrV;rrfD;rrlD;alaU;ileU;rrsD	RDBECOLIPMC00403	rrsDp1	RDBECOLITMC00204	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00069	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	RDBECOLIOPC02896	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF;thrV;rrfD;rrlD;alaU;ileU;rrsD	RDBECOLIPMC00404	rrsDp2	RDBECOLITMC00204	EXP-IDA-BOUNDARIES-DEFINED:W		W	12504278;14526030;15568992;15686546;15590778;2434021;8531889;7517053;35552441 
RDBECOLITUC00070	dnaN-recF	RDBECOLIOPC02940	dnaAN-recF	recF;dnaN	RDBECOLIPMC03689	dnaNp1		EXP-IMP-POLAR-MUTATION:S		S	9501104 
RDBECOLITUC00071	dnaN-recF	RDBECOLIOPC02940	dnaAN-recF	recF;dnaN	RDBECOLIPMC03688	dnaNp2		EXP-IMP-POLAR-MUTATION:S		S	9501104 
RDBECOLITUC00072	dnaN-recF	RDBECOLIOPC02940	dnaAN-recF	recF;dnaN	RDBECOLIPMC03687	dnaNp3		EXP-IMP-POLAR-MUTATION:S		S	9501104 
RDBECOLITUC00073	dnaN-recF	RDBECOLIOPC02940	dnaAN-recF	recF;dnaN	RDBECOLIPMC03686	dnaNp4		EXP-IMP-POLAR-MUTATION:S		S	9501104 
RDBECOLITUC00074	uspB	RDBECOLIOPC00666	uspB	uspB	RDBECOLIPMC00405	uspBp				None	32211022 
RDBECOLITUC00075	gdhA	RDBECOLIOPC02482	gdhA	gdhA	RDBECOLIPMC03619	gdhAp		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	2465204;21272324;9785451 
RDBECOLITUC00076	efp	RDBECOLIOPC01645	efp	efp	RDBECOLIPMC00406	efpp		COMP-AINF:W		W	 
RDBECOLITUC00077	sugE	RDBECOLIOPC00552	sugE	gdx	RDBECOLIPMC00407	sugEp				None	8096175 
RDBECOLITUC00078	chpSB	RDBECOLIOPC02649	chpSB	chpS;chpB	RDBECOLIPMC00409	chpSp2				None	9278503 
RDBECOLITUC00079	yjjY	RDBECOLIOPC00419	yjjY	yjjY				COMP-AINF:W		W	31540875 
RDBECOLITUC00080	yjtD	RDBECOLIOPC01998	yjtD	yjtD				COMP-AINF:W		W	 
RDBECOLITUC00081	yaaX	RDBECOLIOPC01057	yaaX	yaaX				COMP-AINF:W		W	23421615 
RDBECOLITUC00082	yaaA	RDBECOLIOPC00019	yaaA	yaaA				COMP-AINF:W		W	21378183 
RDBECOLITUC00083	yaaJ	RDBECOLIOPC02279	yaaJ	yaaJ				COMP-AINF:W		W	 
RDBECOLITUC00084	mog	RDBECOLIOPC01196	mog	mogA				COMP-AINF:W		W	 
RDBECOLITUC00085	satP	RDBECOLIOPC01906	satP	satP				COMP-AINF:W		W	 
RDBECOLITUC00086	yaaW	RDBECOLIOPC00250	yaaW	yaaW				COMP-AINF:W		W	 
RDBECOLITUC00087	insL1	RDBECOLIOPC01041	insL1	insL1				COMP-AINF:W		W	34475859 
RDBECOLITUC00088	mokC-hokC	RDBECOLIOPC02071	mokC-hokC	hokC;mokC				COMP-AINF:W		W	34475859 
RDBECOLITUC00089	sokC	RDBECOLIOPC02191	sokC	sokC	RDBECOLIPMC02610	sokCp		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S;COMP-AINF:W		S	15718303 
RDBECOLITUC00090	insA1B1AB1	RDBECOLIOPC01467	insA1B1AB1	insB1;insA1;insAB1				COMP-AINF:W		W	 
RDBECOLITUC00091	rihC	RDBECOLIOPC01021	rihC	rihC				COMP-AINF:W		W	 
RDBECOLITUC00092	yaaU	RDBECOLIOPC00448	yaaU	yaaU	RDBECOLIPMC00325	yaaUp		COMP-AINF:W		W	 
RDBECOLITUC00093	kefFC	RDBECOLIOPC00645	kefFC	kefF;kefC				COMP-AINF:W		W	 
RDBECOLITUC00094	djlA	RDBECOLIOPC00137	djlA	djlA				COMP-AINF:W		W	 
RDBECOLITUC00095	yabPQ	RDBECOLIOPC00690	yabPQ	yabP;yabQ				COMP-AINF:W		W	 
RDBECOLITUC00096	yabI	RDBECOLIOPC02017	yabI	yabI	RDBECOLIPMC03289	yabIp		COMP-AINF:W		W	31992590 
RDBECOLITUC00097	sgrR-sroA-thiBPQ	RDBECOLIOPC02930	sgrR-sroA-thiBPQ	thiQ;thiP;thiB;sroA;sgrR	RDBECOLIPMC03098	sgrRp		COMP-AINF:W		W	17209026;15522088 
RDBECOLITUC00098	sgrST-setA	RDBECOLIOPC02137	sgrST-setA	sgrS;sgrT;setA	RDBECOLIPMC03097	sgrSp		COMP-AINF-SINGLE-DIRECTON:W;EXP-IEP-COREGULATION:W;COMP-AINF:W		W	15522088;20971900;17209026 
RDBECOLITUC00099	leuO	RDBECOLIOPC02820	leuO	leuO	RDBECOLIPMC03280	leuOp		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	15582999;18055596;32571968;28252809 
RDBECOLITUC00100	cra	RDBECOLIOPC01440	cra	cra	RDBECOLIPMC00632	fruRp8		COMP-AINF:W		W	23274360;21272324 
RDBECOLITUC00101	lpxC	RDBECOLIOPC02920	mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC	RDBECOLIPMC03274	lpxCp1	RDBECOLITMC00053	COMP-AINF:W		W	 
RDBECOLITUC00102	coaE-zapD-yacG	RDBECOLIOPC01450	coaE-zapD-yacG	yacG;zapD;coaE				COMP-AINF:W		W	 
RDBECOLITUC00103	ppdD-hofBC	RDBECOLIOPC00064	ppdD-hofBC	hofC;hofB;ppdD	RDBECOLIPMC00282	ppdDp		COMP-AINF:W		W	 
RDBECOLITUC00104	nadC	RDBECOLIOPC01748	nadC	nadC	RDBECOLIPMC00530	nadCp		COMP-AINF:W		W	31964733 
RDBECOLITUC00105	yacL	RDBECOLIOPC00227	yacL	yacL	RDBECOLIPMC03292	yacLp		COMP-AINF:W		W	 
RDBECOLITUC00106	yadGH	RDBECOLIOPC00151	yadGH	yadG;yadH				COMP-AINF:W		W	 
RDBECOLITUC00107	yadI	RDBECOLIOPC01860	yadI	yadI				COMP-AINF:W		W	 
RDBECOLITUC00108	yadE	RDBECOLIOPC00859	yadE	yadE				COMP-AINF:W		W	 
RDBECOLITUC00109	yadC	RDBECOLIOPC01933	yadMLKC	yadC	RDBECOLIPMC03208	yadCp		COMP-AINF:W		W	 
RDBECOLITUC00110	hrpB	RDBECOLIOPC00870	hrpB	hrpB				COMP-AINF:W		W	 
RDBECOLITUC00111	uof-fur	RDBECOLIOPC02811	fldA-uof-fur	fur;uof	RDBECOLIPMC00410	uofp	RDBECOLITMC00328,RDBECOLITMC00361	EXP-IDA-BOUNDARIES-DEFINED:W		W	10419964;2993806;8387228 
RDBECOLITUC00112	mrcB	RDBECOLIOPC00954	mrcB	mrcB	RDBECOLIPMC03293	mrcBp		COMP-AINF:W		W	 
RDBECOLITUC00113	clcA	RDBECOLIOPC01181	clcA	clcA				COMP-AINF:W		W	 
RDBECOLITUC00114	mnt-btuF-yadS	RDBECOLIOPC02436	mnt-btuF-yadS	yadS;btuF;mtn	RDBECOLIPMC03070	mtnp		COMP-AINF:W		W	 
RDBECOLITUC00115	dgt	RDBECOLIOPC01949	dgt	dgt	RDBECOLIPMC03071	dgtp1		COMP-AINF:W		W	 
RDBECOLITUC00116	yaeH	RDBECOLIOPC00557	yaeH	yaeH				COMP-AINF:W		W	 
RDBECOLITUC00117	yaeI	RDBECOLIOPC00369	yaeI	yaeI				COMP-AINF:W		W	 
RDBECOLITUC00118	map-glnD-dapD	RDBECOLIOPC02338	map-glnD-dapD	dapD;glnD;map				COMP-AINF:W		W	12067348;18000553;11395452 
RDBECOLITUC00119	fldA-uof-fur	RDBECOLIOPC02811	fldA-uof-fur	fur;uof;fldA	RDBECOLIPMC00411	fldAp	RDBECOLITMC00361,RDBECOLITMC00328	EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	10419964 
RDBECOLITUC00120	dxr-uppS-cdsA	RDBECOLIOPC02831	dxr-uppS-cdsA	dxr;ispU;cdsA				EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S		S	31127859 
RDBECOLITUC00121	yaeR	RDBECOLIOPC00643	yaeR	yaeR				COMP-AINF:W		W	 
RDBECOLITUC00122	tilS	RDBECOLIOPC01715	tilS	tilS				COMP-AINF:W		W	 
RDBECOLITUC00123	yaeP-rof	RDBECOLIOPC01655	yaeP-rof	rof;yaeP	RDBECOLIPMC00533	yaePp		COMP-AINF:W		W	 
RDBECOLITUC00124	yaeQ-arfB-nlpE	RDBECOLIOPC00454	yaeQ-arfB-nlpE	yaeQ;arfB;nlpE	RDBECOLIPMC00534	yaeQp		COMP-AINF:W		W	 
RDBECOLITUC00125	yaeF	RDBECOLIOPC01908	yaeF	yaeF				COMP-AINF:W		W	 
RDBECOLITUC00126	rcsF-trmO	RDBECOLIOPC00982	rcsF-trmO	trmO;rcsF				COMP-AINF:W		W	 
RDBECOLITUC00127	gmhB	RDBECOLIOPC00336	gmhB	gmhB	RDBECOLIPMC03297	gmhBp		COMP-AINF:W		W	 
RDBECOLITUC00128	dkgB	RDBECOLIOPC01316	dkgB	dkgB	RDBECOLIPMC00314	dkgBp		COMP-AINF:W		W	 
RDBECOLITUC00129	fur	RDBECOLIOPC02811	fldA-uof-fur	fur	RDBECOLIPMC03588	furpb	RDBECOLITMC00361,RDBECOLITMC00328	EXP-IDA-BOUNDARIES-DEFINED:W		W	2836193;2993806;8387228;21272324 
RDBECOLITUC00130	yafDE	RDBECOLIOPC01765	yafDE	yafD;yafE	RDBECOLIPMC03173	yafDp		EXP-IEP-COREGULATION:W;COMP-AINF:W		W	16818608;34903045 
RDBECOLITUC00131	mltD	RDBECOLIOPC01102	mltD	mltD				COMP-AINF:W		W	 
RDBECOLITUC00132	gloB	RDBECOLIOPC00471	gloB	gloB				COMP-AINF:W		W	 
