# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) promoterPos. Transcription start site of promoter(10) terminatorIds. Ids of the terminators associated to transcription unit
##(11) sigmaFactor. Sigma Factor associated to 
##(12) tfsIds. transcription Factors ids that regulates the transcription Unit
##(13) tfsNames. transcription Factors names that regulates the transcription Unit
##(14) tuGenesBnumber. bnumbers of the tu genes
##(15) firstGenePos. start position of the first tu gene
##(16) lastGenePos. end position of the first tu gene
##(17) terminatorPositions. positions of the terminator
##(18) DBXRef. id of the TU in Ecocyc
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC00019	flhBAE	RDBECOLIOPC00349	flhBAE	RDBECOLIGNC03911,RDBECOLIGNC03002,RDBECOLIGNC03912	flhE|flhA|flhB	RDBECOLIPMC00019	flhBp	1966216		sigma70	RDBECOLITFC00218	FlhDC	b1878|b1879|b1880	1966191	1962580		Ecocyc:TU-8405 
RDBECOLITUC00020	rne	RDBECOLIOPC02837	rne	RDBECOLIGNC00849	rne	RDBECOLIPMC03024	rnep1	1144728		sigma70			b1084	1144367	1141182		Ecocyc:TU-8407 
RDBECOLITUC00021	fliE	RDBECOLIOPC02886	fliE	RDBECOLIGNC01316	fliE	RDBECOLIPMC00021	fliEp1	2013036		sigma70	RDBECOLITFC00240,RDBECOLITFC00240,RDBECOLITFC00218	CsgD,CsgD,FlhDC	b1937	2013014	2012700		Ecocyc:TU-8408 
RDBECOLITUC00022	fliFGHIJK	RDBECOLIOPC02208	fliFGHIJK	RDBECOLIGNC03006,RDBECOLIGNC03005,RDBECOLIGNC03004,RDBECOLIGNC01597,RDBECOLIGNC01596,RDBECOLIGNC01317	fliK|fliJ|fliI|fliH|fliG|fliF	RDBECOLIPMC00022	fliFp1	2013146		sigma70	RDBECOLITFC00240,RDBECOLITFC00240,RDBECOLITFC00049,RDBECOLITFC00218	CsgD,CsgD,PdeL,FlhDC	b1943|b1942|b1941|b1940|b1939|b1938	2013229	2019513		Ecocyc:TU-8411 
RDBECOLITUC00023	gltIJKL-sroC	RDBECOLIOPC02778	gltI-sroC-gltJKL	RDBECOLIGNC02955,RDBECOLIGNC02346,RDBECOLIGNC02345,RDBECOLIGNC02344,RDBECOLIGNC03269	sroC|gltL|gltK|gltJ|gltI	RDBECOLIPMC00023	gltIp1	687896		sigma70	RDBECOLITFC00218	FlhDC	b4763|b0652|b0653|b0654|b0655	687747	684530		Ecocyc:TU-8412 
RDBECOLITUC00024	malQ	RDBECOLIOPC02889	malPQ	RDBECOLIGNC00553	malQ	RDBECOLIPMC00024	malQp	3550399		sigma24			b3416	3550070	3547986		Ecocyc:TU-8414 
RDBECOLITUC00025	yhjJ	RDBECOLIOPC01582	yhjJ	RDBECOLIGNC02131	bipP	RDBECOLIPMC00025	yhjJp	3682016		sigma24			b3527	3681940	3680444		Ecocyc:TU-8417 
RDBECOLITUC00026	yieEF	RDBECOLIOPC00542	yieEF	RDBECOLIGNC01660,RDBECOLIGNC01659	yieF|yieE	RDBECOLIPMC00026	yieEp	3893829		sigma24			b3713|b3712	3893881	3895218		Ecocyc:TU-8419 
RDBECOLITUC00027	plsB	RDBECOLIOPC02822	plsB	RDBECOLIGNC00730	plsB	RDBECOLIPMC00027	plsBp1	4256598		sigma24			b4041	4256466	4254043		Ecocyc:TU-8421 
RDBECOLITUC00028	essD-ybcS-rzpD	RDBECOLIOPC02474	essD-ybcS-rzpD	RDBECOLIGNC03223,RDBECOLIGNC03222,RDBECOLIGNC03221	rzpD|rrrD|essD	RDBECOLIPMC00028	essDp	576873		sigma24			b0556|b0555|b0554	577398	578568		Ecocyc:TU-8422 
RDBECOLITUC00029	rutR	RDBECOLIOPC00854	rutR	RDBECOLIGNC02175	rutR	RDBECOLIPMC00029	rutRp1	1074134		sigma24			b1013	1074242	1074880		Ecocyc:TU-8423 
RDBECOLITUC00030	narWV	RDBECOLIOPC02708	narUZYWV	RDBECOLIGNC00636,RDBECOLIGNC00637	narV|narW	RDBECOLIPMC00030	narWp	1538687		sigma24			b1465|b1466	1537309	1535937		Ecocyc:TU-8427 
RDBECOLITUC00031	ydhIJK	RDBECOLIOPC00978	ydhIJK	RDBECOLIGNC03772,RDBECOLIGNC03771,RDBECOLIGNC03770	ydhK|ydhJ|ydhI	RDBECOLIPMC00031	ydhIp	1720998		sigma24			b1645|b1644|b1643	1721025	1724133		Ecocyc:TU-8428 
RDBECOLITUC00032	lhr	RDBECOLIOPC02704	rnt-lhr	RDBECOLIGNC01501	lhr	RDBECOLIPMC00032	lhrp	1728353	RDBECOLITMC00126	sigma24			b1653	1729087	1733703	1733711-1733740	Ecocyc:TU-8430 
RDBECOLITUC00033	rnlB	RDBECOLIOPC02938	rnlAB	RDBECOLIGNC04223	rnlB	RDBECOLIPMC00033	rnlBp1	2766707		sigma24			b2631	2766984	2767355		Ecocyc:TU-8431 
RDBECOLITUC00034	gspAB	RDBECOLIOPC02818	gspAB	RDBECOLIGNC01237,RDBECOLIGNC04527	gspB|gspA	RDBECOLIPMC00034	gspAp4	3455634		sigma24			b3322|b3323	3455398	3453508		Ecocyc:TU-8433 
RDBECOLITUC00035	yicJI	RDBECOLIOPC00875	yicJI	RDBECOLIGNC01626,RDBECOLIGNC01627	yicI|yicJ	RDBECOLIPMC00035	yicJp	3836664		sigma24			b3656|b3657	3835929	3832219		Ecocyc:TU-8434 
RDBECOLITUC00036	ahpF	RDBECOLIOPC02872	ahpCF	RDBECOLIGNC01351	ahpF	RDBECOLIPMC00036	ahpFp	639002		sigma24			b0606	639753	641318		Ecocyc:TU-8435 
RDBECOLITUC00037	ftnB	RDBECOLIOPC02414	ftnB	RDBECOLIGNC03916	ftnB	RDBECOLIPMC00037	ftnBp1	1986775		sigma24			b1902	1986925	1987428		Ecocyc:TU-8438 
RDBECOLITUC00038	bglA	RDBECOLIOPC01490	bglA	RDBECOLIGNC03008	bglA								b2901	3043662	3045101		Ecocyc:TU-8439 
RDBECOLITUC00039	ytfE	RDBECOLIOPC00646	ytfE	RDBECOLIGNC04640	ytfE	RDBECOLIPMC00038	ytfEp	4432009			RDBECOLITFC00005,RDBECOLITFC00160,RDBECOLITFC00070,RDBECOLITFC00044,RDBECOLITFC00070,RDBECOLITFC00044	NsrR,FNR,NarL,NarP,NarL,NarP	b4209	4431983	4431321		Ecocyc:TU-8441 
RDBECOLITUC00040	ygbA	RDBECOLIOPC00464	ygbA	RDBECOLIGNC01259	ygbA	RDBECOLIPMC00039	ygbAp	2856828			RDBECOLITFC00005,RDBECOLITFC00005,RDBECOLITFC00160,RDBECOLITFC00005	NsrR,NsrR,FNR,NsrR	b2732	2856806	2856453		Ecocyc:TU-8443 
RDBECOLITUC00041	cysG	RDBECOLIOPC01182	nirBDC-cysG	RDBECOLIGNC00183	cysG	RDBECOLIPMC00439	cysGp1	3497754		sigma70			b3368	3497828	3499201		Ecocyc:TU0-0 
RDBECOLITUC00042	astCADBE	RDBECOLIOPC02690	astCADBE	RDBECOLIGNC03825,RDBECOLIGNC03826,RDBECOLIGNC03827,RDBECOLIGNC03828,RDBECOLIGNC03829	astE|astB|astD|astA|astC	RDBECOLIPMC00380	astCp1	1832013		sigma70			b1744|b1745|b1746|b1747|b1748	1831982	1825955		Ecocyc:TU0-1002 
RDBECOLITUC00043	astCADBE	RDBECOLIOPC02690	astCADBE	RDBECOLIGNC03825,RDBECOLIGNC03826,RDBECOLIGNC03827,RDBECOLIGNC03828,RDBECOLIGNC03829	astE|astB|astD|astA|astC	RDBECOLIPMC00381	astCp2	1832044		sigma54	RDBECOLITFC00009,RDBECOLITFC00009,RDBECOLITFC00009,RDBECOLITFC00009,RDBECOLITFC00022,RDBECOLITFC00022,RDBECOLITFC00022	ArgR,ArgR,ArgR,ArgR,NtrC,NtrC,NtrC	b1744|b1745|b1746|b1747|b1748	1831982	1825955		Ecocyc:TU0-1003 
RDBECOLITUC00044	astCADBE	RDBECOLIOPC02690	astCADBE	RDBECOLIGNC03825,RDBECOLIGNC03826,RDBECOLIGNC03827,RDBECOLIGNC03828,RDBECOLIGNC03829	astE|astB|astD|astA|astC	RDBECOLIPMC00382	astCp3	1832039		sigma38			b1744|b1745|b1746|b1747|b1748	1831982	1825955		Ecocyc:TU0-1004 
RDBECOLITUC00045	pyrH	RDBECOLIOPC00085	pyrH	RDBECOLIGNC01492	pyrH	RDBECOLIPMC00383	pyrHp	191812		sigma70			b0171	191855	192580		Ecocyc:TU0-1021 
RDBECOLITUC00046	nrdHIEF	RDBECOLIOPC00520	nrdHIEF	RDBECOLIGNC04252,RDBECOLIGNC04253,RDBECOLIGNC02243,RDBECOLIGNC02445	nrdH|nrdI|nrdF|nrdE	RDBECOLIPMC00384	nrdHp	2800656		sigma70	RDBECOLITFC00092,RDBECOLITFC00129,RDBECOLITFC00105,RDBECOLITFC00129,RDBECOLITFC00187,RDBECOLITFC00187	Cra,Fur,IscR,Fur,NrdR,NrdR	b2673|b2674|b2676|b2675	2800723	2804461		Ecocyc:TU0-1022 
RDBECOLITUC00047	cpxPQ	RDBECOLIOPC02114	cpxPQ	RDBECOLIGNC02731,RDBECOLIGNC04597	cpxQ|cpxP	RDBECOLIPMC00385	cpxPp	4105785	RDBECOLITMC00262	sigma70	RDBECOLITFC00043,RDBECOLITFC00043,RDBECOLITFC00043	CpxR,CpxR,CpxR	b4716|b4484	4105820	4106387	4106361-4106379	Ecocyc:TU0-1041 
RDBECOLITUC00048	srkA-dsbA	RDBECOLIOPC02634	srkA-dsbA	RDBECOLIGNC01269,RDBECOLIGNC01760	dsbA|srkA	RDBECOLIPMC00386	srkAp	4042391		sigma70	RDBECOLITFC00043	CpxR	b3860|b3859	4042415	4044044		Ecocyc:TU0-1061 
RDBECOLITUC00049	dsbA	RDBECOLIOPC02634	srkA-dsbA	RDBECOLIGNC01269	dsbA	RDBECOLIPMC00387	dsbAp	4043377		sigma70			b3860	4043418	4044044		Ecocyc:TU0-1062 
RDBECOLITUC00050	fkpA	RDBECOLIOPC00817	fkpA	RDBECOLIGNC04542	fkpA	RDBECOLIPMC03786	fkpAp1	3477525		sigma24			b3347	3477419	3476607		Ecocyc:TU0-1063 
RDBECOLITUC00051	fkpA	RDBECOLIOPC00817	fkpA	RDBECOLIGNC04542	fkpA	RDBECOLIPMC03787	fkpAp2	3477499					b3347	3477419	3476607		Ecocyc:TU0-1064 
RDBECOLITUC00052	aqpZ	RDBECOLIOPC00123	aqpZ	RDBECOLIGNC02430	aqpZ								b0875	916047	915352		Ecocyc:TU0-1106 
RDBECOLITUC00053	dmsABC	RDBECOLIOPC02316	dmsABC	RDBECOLIGNC00228,RDBECOLIGNC00227,RDBECOLIGNC00226	dmsC|dmsB|dmsA	RDBECOLIPMC00388	dmsAp2	940878			RDBECOLITFC00140,RDBECOLITFC00189	IHF,ModE	b0896|b0895|b0894	940959	944896		Ecocyc:TU0-1122 
RDBECOLITUC00054	moaABCDE	RDBECOLIOPC02723	moaABCDE	RDBECOLIGNC01545,RDBECOLIGNC01544,RDBECOLIGNC01607,RDBECOLIGNC01543,RDBECOLIGNC01542	moaE|moaD|moaC|moaB|moaA	RDBECOLIPMC00390	moaAp2	816914			RDBECOLITFC00189	ModE	b0785|b0784|b0783|b0782|b0781	817044	819747		Ecocyc:TU0-1123 
RDBECOLITUC00055	ptsG	RDBECOLIOPC02712	ptsG	RDBECOLIGNC00777	ptsG	RDBECOLIPMC00391	ptsGp1	1157766			RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00086,RDBECOLITFC00086,RDBECOLITFC00133,RDBECOLITFC00133,RDBECOLITFC00133,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00023,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00095	Fis,Fis,CRP,CRP,ArcA,ArcA,ArcA,Fis,Fis,Fis,Mlc,Fis,Fis,SoxS	b1101	1157869	1159302		Ecocyc:TU0-1141 
RDBECOLITUC00056	ptsG	RDBECOLIOPC02712	ptsG	RDBECOLIGNC00777	ptsG	RDBECOLIPMC00392	ptsGp2	1157626		sigma70	RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00023	Fis,Fis,Fis,Fis,Fis,Mlc	b1101	1157869	1159302		Ecocyc:TU0-1142 
RDBECOLITUC00057	grcA	RDBECOLIOPC02365	grcA	RDBECOLIGNC01715	grcA	RDBECOLIPMC00393	grcAp1	2716523		sigma70	RDBECOLITFC00129,RDBECOLITFC00086,RDBECOLITFC00133,RDBECOLITFC00133,RDBECOLITFC00160,RDBECOLITFC00221,RDBECOLITFC00160,RDBECOLITFC00160,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190	Fur,CRP,ArcA,ArcA,FNR,PdhR,FNR,FNR,Fis,Fis,Fis	b2579	2716449	2716066		Ecocyc:TU0-1143 
RDBECOLITUC00058	ldcC	RDBECOLIOPC00228	ldcC	RDBECOLIGNC03024	ldcC	RDBECOLIPMC00394	ldcCp			sigma38			b0186	209679	211820		Ecocyc:TU0-1161 
RDBECOLITUC00059	rrsA-ileT-alaT-rrlA-rrfA	RDBECOLIOPC02755	rrsA-ileT-alaT-rrlA-rrfA	RDBECOLIGNC02507,RDBECOLIGNC02514,RDBECOLIGNC02446,RDBECOLIGNC02480,RDBECOLIGNC02521	rrfA|rrlA|alaT|ileT|rrsA	RDBECOLIPMC00395	rrsAp1	4035239		sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00110,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110	DksA,DksA,Lrp,NhaR,Fis,Fis,Fis,Fis,Lrp	b3855|b3854|b3853|b3852|b3851	4035531	4040636		Ecocyc:TU0-1181 
RDBECOLITUC00060	rrsB-gltT-rrlB-rrfB	RDBECOLIOPC02814	rrsB-gltT-rrlB-rrfB	RDBECOLIGNC02508,RDBECOLIGNC02515,RDBECOLIGNC02469,RDBECOLIGNC02522	rrfB|rrlB|gltT|rrsB	RDBECOLIPMC03736	rrsBp1	4166367	RDBECOLITMC00087,RDBECOLITMC00086	sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00110,RDBECOLITFC00110,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110,RDBECOLITFC00050,RDBECOLITFC00050,RDBECOLITFC00050	DksA,DksA,Lrp,Lrp,NhaR,Fis,Fis,Fis,Lrp,H-NS,H-NS,H-NS	b3971|b3970|b3969|b3968	4166659	4171756	4171935-4171962|4171760-4171803	Ecocyc:TU0-1182 
RDBECOLITUC00061	rrsC-gltU-rrlC-rrfC	RDBECOLIOPC02864	rrsC-gltU-rrlC-rrfC	RDBECOLIGNC02509,RDBECOLIGNC02516,RDBECOLIGNC02470,RDBECOLIGNC02523	rrfC|rrlC|gltU|rrsC	RDBECOLIPMC00396	rrsCp1	3941516	RDBECOLITMC00088	sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110,RDBECOLITFC00050	DksA,DksA,NhaR,Fis,Fis,Fis,Lrp,H-NS	b3759|b3758|b3757|b3756	3941808	3946819	3947032-3947067	Ecocyc:TU0-1183 
RDBECOLITUC00062	rrsC-gltU-rrlC-rrfC	RDBECOLIOPC02864	rrsC-gltU-rrlC-rrfC	RDBECOLIGNC02509,RDBECOLIGNC02516,RDBECOLIGNC02470,RDBECOLIGNC02523	rrfC|rrlC|gltU|rrsC	RDBECOLIPMC00397	rrsCp2	3941633	RDBECOLITMC00088	sigma70	RDBECOLITFC00004	NhaR	b3759|b3758|b3757|b3756	3941808	3946819	3947032-3947067	Ecocyc:TU0-1184 
RDBECOLITUC00063	rrsE-gltV-rrlE-rrfE	RDBECOLIOPC01426	rrsE-gltV-rrlE-rrfE	RDBECOLIGNC02511,RDBECOLIGNC02518,RDBECOLIGNC02471,RDBECOLIGNC02525	rrfE|rrlE|gltV|rrsE	RDBECOLIPMC00398	rrsEp1	4207863	RDBECOLITMC00227	sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110	DksA,DksA,NhaR,Fis,Fis,Fis,Fis,Fis,Lrp	b4010|b4009|b4008|b4007	4208147	4213159	4213155-4213209	Ecocyc:TU0-1186 
RDBECOLITUC00064	rrsG-gltW-rrlG-rrfG	RDBECOLIOPC02906	rrsG-gltW-rrlG-rrfG	RDBECOLIGNC02512,RDBECOLIGNC02519,RDBECOLIGNC02472,RDBECOLIGNC02526	rrfG|rrlG|gltW|rrsG	RDBECOLIPMC00399	rrsGp1	2731448		sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110,RDBECOLITFC00050	DksA,DksA,NhaR,Fis,Fis,Fis,Lrp,H-NS	b2588|b2589|b2590|b2591	2731157	2726069		Ecocyc:TU0-1187 
RDBECOLITUC00065	rrsG-gltW-rrlG-rrfG	RDBECOLIOPC02906	rrsG-gltW-rrlG-rrfG	RDBECOLIGNC02512,RDBECOLIGNC02519,RDBECOLIGNC02472,RDBECOLIGNC02526	rrfG|rrlG|gltW|rrsG	RDBECOLIPMC00400	rrsGp2	2731332		sigma70	RDBECOLITFC00004	NhaR	b2588|b2589|b2590|b2591	2731157	2726069		Ecocyc:TU0-1188 
RDBECOLITUC00066	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIOPC01626	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIGNC02513,RDBECOLIGNC02520,RDBECOLIGNC02448,RDBECOLIGNC02482,RDBECOLIGNC02527	rrfH|rrlH|alaV|ileV|rrsH	RDBECOLIPMC00401	rrsHp1	223485		sigma70	RDBECOLITFC00087,RDBECOLITFC00087,RDBECOLITFC00004,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00190,RDBECOLITFC00110,RDBECOLITFC00050	DksA,DksA,NhaR,Fis,Fis,Fis,Fis,Lrp,H-NS	b0205|b0204|b0203|b0202|b0201	223771	228875		Ecocyc:TU0-1189 
RDBECOLITUC00067	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIOPC01626	rrsH-ileV-alaV-rrlH-rrfH	RDBECOLIGNC02513,RDBECOLIGNC02520,RDBECOLIGNC02448,RDBECOLIGNC02482,RDBECOLIGNC02527	rrfH|rrlH|alaV|ileV|rrsH	RDBECOLIPMC00402	rrsHp2	223593		sigma70	RDBECOLITFC00004	NhaR	b0205|b0204|b0203|b0202|b0201	223771	228875		Ecocyc:TU0-1190 
