# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Operon ID
#(2) Operon name
## (3) First gene-position left
## (4) Last gene-position right
## (5) DNA strand where the operon is coded
## (6) Number of genes contained in the operon
## (7) Name or Blattner number of the gene(s) contained in the operon
## (8) Evidence that support the existence of the operon's TUs
## (9) Evidence confidence level (Confirmed, Strong, Weak)
1)operonId	2)operonName	3)firstGeneLeftPos	4)lastGeneRightPos	5)strand	6)numberOfGenes	7)operonGenes	8)operonEvidence	9)confidenceLevel 
RDBECOLIOPC00012	yifK	3980887	3982272	forward	1	thrP	[COMP-AINF:W]	W 
RDBECOLIOPC00013	yciN	1330417	1330668	reverse	1	yciN	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00014	yqfI	3050958	3051041	forward	1	yqfI	[COMP-HINF-IGC:W][IC:W]	W 
RDBECOLIOPC00015	yiiR	4112315	4112755	forward	1	yiiR	[COMP-AINF:W]	W 
RDBECOLIOPC00016	add	1702233	1703234	forward	1	add	[COMP-AINF:W]	W 
RDBECOLIOPC00017	yohF	2226509	2227270	reverse	1	yohF	[COMP-AINF:W]	W 
RDBECOLIOPC00018	yjjUV	4612411	4614260	forward	2	yjjU|yjjV	[COMP-AINF:W]	W 
RDBECOLIOPC00019	yaaA	5683	6459	reverse	1	yaaA	[COMP-AINF:W]	W 
RDBECOLIOPC00020	rseX	2033649	2033739	forward	1	rseX	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-HINF:W]	W 
RDBECOLIOPC00021	yqcC-truC-yqcA	2922535	2924113	reverse	3	yqcC|truC|yqcA	[COMP-AINF:W]	W 
RDBECOLIOPC00022	insA4AB4B4	1049833	1050530	forward	3	insA4|insAB4|insB4	[COMP-AINF:W]	W 
RDBECOLIOPC00023	yiiU	4118515	4118760	forward	1	zapB	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00024	nohA-stfQ-tfaQ	1634310	1636367	reverse	3	nohA|stfQ|tfaQ	[COMP-AINF:W]	W 
RDBECOLIOPC00025	dld	2222185	2223900	forward	1	dld	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00026	ydeQ	1586820	1587734	reverse	1	ydeQ	[COMP-AINF:W]	W 
RDBECOLIOPC00027	yedS	2034051	2035243	forward	1	yedS	[COMP-AINF:W]	W 
RDBECOLIOPC00028	dinJ-yafQ	245961	246502	reverse	2	dinJ|yafQ	[COMP-AINF:W]	W 
RDBECOLIOPC00029	yghED	3110590	3111988	reverse	2	yghE|yghD	[COMP-AINF:W]	W 
RDBECOLIOPC00030	dauA	1259124	1260803	reverse	1	dauA	[COMP-AINF:W]	W 
RDBECOLIOPC00031	ydcH	1498651	1498875	forward	1	ydcH	[COMP-AINF:W]	W 
RDBECOLIOPC00032	pgpC-tadA	2697354	2698550	reverse	2	pgpC|tadA	[COMP-AINF:W]	W 
RDBECOLIOPC00033	lgoR	4594937	4595851	reverse	1	lgoR	[COMP-AINF:W]	W 
RDBECOLIOPC00034	yaiS	384059	384616	reverse	1	yaiS	[COMP-AINF:W]	W 
RDBECOLIOPC00035	mdtUJI	1672820	1673709	reverse	3	mdtU|mdtJ|mdtI	[COMP-AINF:W]	W 
RDBECOLIOPC00036	yhjV	3700563	3701834	forward	1	yhjV	[COMP-AINF:W]	W 
RDBECOLIOPC00037	ybcY	582152	582806	reverse	1	ybcY	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00038	ydaL	1405979	1406542	forward	1	smrA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00039	yrdA	3429236	3429790	forward	1	yrdA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00040	insC5CD5D5-yqiHIG	3186025	3191696	forward	6	yqiG|insC5|insCD5|insD5|yqiH|yqiI	[EXP-IEP-COREGULATION:W][COMP-AINF:W]	W 
RDBECOLIOPC00041	hmp	2685835	2687025	forward	1	hmp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00042	ycgB	1235709	1237241	reverse	1	ycgB	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00043	ykgS	290510	290638	forward	1	ykgS	[COMP-HINF-IGC:W][IC:W]	W 
RDBECOLIOPC00044	yffS	2564523	2565332	forward	1	yffS	[COMP-AINF:W]	W 
RDBECOLIOPC00045	ytfI	4437707	4438645	forward	1	ytfI	[COMP-AINF:W]	W 
RDBECOLIOPC00046	ydiL	1770615	1770971	forward	1	ydiL	[COMP-AINF:W]	W 
RDBECOLIOPC00047	yjdF	4344929	4345558	reverse	1	yjdF	[COMP-AINF:W]	W 
RDBECOLIOPC00048	purC	2596905	2597618	reverse	1	purC		 
RDBECOLIOPC00049	ycaC	944931	945557	reverse	1	ycaC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00050	yccM	1052289	1053362	reverse	1	yccM	[COMP-AINF:W]	W 
RDBECOLIOPC00051	ynfM	1669699	1670952	forward	1	ynfM	[COMP-AINF:W]	W 
RDBECOLIOPC00052	yegE	2143266	2146583	forward	1	dgcE	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00053	yhcG	3367827	3368954	forward	1	yhcG	[COMP-AINF:W]	W 
RDBECOLIOPC00054	aldA	1488232	1489671	forward	1	aldA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00055	degP	180884	182308	forward	1	degP	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00056	betIBA	325577	329334	reverse	3	betI|betB|betA		 
RDBECOLIOPC00057	mdlAB	468871	472417	forward	2	mdlA|mdlB	[COMP-AINF:W]	W 
RDBECOLIOPC00058	trmL	3781215	3781688	forward	1	trmL	[COMP-AINF:W]	W 
RDBECOLIOPC00059	ynfB-speG	1655808	1656744	forward	2	ynfB|speG	[COMP-AINF:W]	W 
RDBECOLIOPC00060	ychO	1273784	1275178	forward	1	ychO	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00061	mviM	1126806	1127729	forward	1	yceM	[COMP-HINF:W]	W 
RDBECOLIOPC00062	yfaY	2362431	2363633	reverse	1	yfaY	[COMP-AINF:W]	W 
RDBECOLIOPC00063	wzzB	2097321	2098301	reverse	1	wzzB	[COMP-AINF:W]	W 
RDBECOLIOPC00064	ppdD-hofBC	114522	117549	reverse	3	ppdD|hofB|hofC	[COMP-AINF:W]	W 
RDBECOLIOPC00065	mcrBC	4576912	4579337	reverse	2	mcrB|mcrC	[EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00066	gapC_1C_2	1489713	1490713	reverse	1	gapC	[EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00067	yahC	334525	335022	reverse	1	yahC	[COMP-AINF:W]	W 
RDBECOLIOPC00068	yiiS-uspD	4112967	4113721	forward	2	yiiS|uspD	[COMP-AINF:W]	W 
RDBECOLIOPC00069	frwD	4147138	4147479	forward	1	frwD	[COMP-HINF:W]	W 
RDBECOLIOPC00070	flgK	1138378	1141063	forward	3	flgK|flgL|flgO		 
RDBECOLIOPC00071	ygfI	3066277	3067173	reverse	1	srsR	[COMP-AINF:W]	W 
RDBECOLIOPC00072	hlyE	1229483	1230394	reverse	1	hlyE	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00073	ypfG	2581734	2582777	reverse	1	ypfG	[COMP-AINF:W]	W 
RDBECOLIOPC00074	alaE	2799164	2799613	forward	1	alaE	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00075	ribC	1742601	1743242	reverse	1	ribC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00076	ydiU	1789808	1791244	reverse	1	selO		 
RDBECOLIOPC00077	queG	4392928	4394067	reverse	1	queG	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00078	omrB	2976304	2976385	reverse	1	omrB	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00079	ynjI	1843831	1844871	reverse	1	ynjI	[COMP-AINF:W]	W 
RDBECOLIOPC00080	valUXY-lysV	2520931	2521328	forward	4	valU|valX|valY|lysV	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00081	araBAD	65855	70048	reverse	3	araB|araA|araD		 
RDBECOLIOPC00082	ygcG	2905711	2906583	forward	1	ygcG	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00083	pepB	2655075	2656358	reverse	1	pepB	[COMP-AINF:W]	W 
RDBECOLIOPC00084	frsA	256527	257771	forward	1	frsA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00085	pyrH	191855	192580	forward	1	pyrH	[COMP-AINF:W]	W 
RDBECOLIOPC00086	asphoP	1190165	1190508	forward	1	asphoP	[COMP-HINF-IGC:W][IC:W]	W 
RDBECOLIOPC00087	ybjL	888134	889819	reverse	1	ybjL	[COMP-AINF:W]	W 
RDBECOLIOPC00088	ushA	504914	506566	forward	1	ushA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00089	yjaA	4213234	4213617	forward	1	yjaA	[COMP-AINF:W]	W 
RDBECOLIOPC00090	ubiG	2339567	2340289	forward	1	ubiG		 
RDBECOLIOPC00091	mnaT-ydcZ	1517882	1518846	reverse	2	mnaT|ydcZ	[COMP-AINF:W]	W 
RDBECOLIOPC00092	pgaABCD	1086106	1092289	reverse	4	pgaA|pgaB|pgaC|pgaD	[IC:W]	W 
RDBECOLIOPC00093	insE3EF3F3	566842	568004	forward	3	insE3|insEF3|insF3	[COMP-AINF:W]	W 
RDBECOLIOPC00094	yfaZ	2363733	2364275	reverse	1	yfaZ	[COMP-AINF:W]	W 
RDBECOLIOPC00095	yjeT	4404386	4404583	forward	1	yjeT	[COMP-AINF:W]	W 
RDBECOLIOPC00096	ybdD	632182	632379	forward	1	ybdD	[COMP-AINF:W]	W 
RDBECOLIOPC00097	ygeLK	2994460	2995092	reverse	2	ygeL|ygeK	[COMP-AINF:W]	W 
RDBECOLIOPC00098	yhdJ	3411653	3412537	forward	1	yhdJ	[COMP-AINF:W]	W 
RDBECOLIOPC00099	tonB	1311089	1311808	forward	1	tonB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00100	sokX	2887353	2887411	forward	1	sokX	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00101	ldrC	1270238	1270345	reverse	1	ldrC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00102	dacB	3328963	3330396	forward	1	dacB	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00103	yfeKS	2537342	2538483	forward	2	yfeK|yfeS	[EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00104	yjiK	4562743	4563603	reverse	1	yjiK	[COMP-AINF:W]	W 
RDBECOLIOPC00105	fetAB	515919	517362	forward	2	fetA|fetB	[COMP-AINF:W]	W 
RDBECOLIOPC00106	yhfK	3486791	3488893	forward	1	yhfK	[COMP-HINF:W]	W 
RDBECOLIOPC00107	yjjK	4628855	4630522	reverse	1	ettA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00108	intF	295696	297096	reverse	1	intF	[COMP-AINF:W]	W 
RDBECOLIOPC00109	ydcK	1499469	1500449	reverse	1	ydcK	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00110	acpT	3612969	3613556	forward	1	acpT	[COMP-AINF:W]	W 
RDBECOLIOPC00111	mcbA	841796	842056	reverse	1	mcbA	[COMP-AINF:W]	W 
RDBECOLIOPC00112	scpA-argK-scpBC	3060850	3066280	forward	4	scpA|argK|scpB|scpC	[AS-NAS:W]	W 
RDBECOLIOPC00113	yccFS	1021730	1024348	reverse	2	yccF|yccS	[COMP-AINF:W]	W 
RDBECOLIOPC00114	yciVOQ	1323220	1326641	forward	3	rnm|yciO|yciQ	[COMP-AINF:W]	W 
RDBECOLIOPC00115	yjhIHG	4522127	4525803	reverse	3	yjhI|yjhH|yjhG	[COMP-AINF:W]	W 
RDBECOLIOPC00116	ybiA	832468	832950	reverse	1	ybiA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00117	dctA	3682161	3683447	reverse	1	dctA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00118	yqgD	3086399	3086650	reverse	1	yqgD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00119	cadC	4360396	4361934	reverse	1	cadC		 
RDBECOLIOPC00120	yfjPQ	2767710	2769486	forward	2	yfjP|yfjQ	[COMP-AINF:W]	W 
RDBECOLIOPC00121	ydeP	1584207	1586486	reverse	1	ydeP		 
RDBECOLIOPC00122	torS	1053434	1056178	reverse	1	torS	[COMP-AINF:W]	W 
RDBECOLIOPC00123	aqpZ	915352	916047	reverse	1	aqpZ	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00124	pgrR	1391991	1392890	forward	1	pgrR	[COMP-AINF:W]	W 
RDBECOLIOPC00125	thrW	262871	262946	forward	1	thrW	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00126	abpAB	2761351	2765153	reverse	2	abpA|abpB	[COMP-AINF:W]	W 
RDBECOLIOPC00127	yhbO	3298974	3299492	forward	1	yhbO	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00128	ypjC	2784529	2785011	reverse	1	ypjC	[COMP-AINF:W]	W 
RDBECOLIOPC00129	ibsC	3056890	3056949	reverse	1	ibsC	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00130	fpr	4113726	4114472	reverse	1	fpr		 
RDBECOLIOPC00131	intB	4496750	4497940	forward	1	intB	[COMP-AINF:W]	W 
RDBECOLIOPC00132	yhbX	3319988	3321613	reverse	1	yhbX	[COMP-AINF:W]	W 
RDBECOLIOPC00134	ymfA-ycfZ	1180479	1181725	reverse	2	ymfA|ycfZ	[COMP-AINF:W]	W 
RDBECOLIOPC00135	talB	8238	9191	forward	1	talB	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00136	yeiG	2243910	2244746	forward	1	yeiG	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00137	djlA	57364	58179	forward	1	djlA	[COMP-AINF:W]	W 
RDBECOLIOPC00138	brnQ-proY	419591	422359	forward	2	brnQ|proY	[COMP-AINF:W]	W 
RDBECOLIOPC00139	yddM	1552398	1552682	reverse	1	yddM	[COMP-AINF:W]	W 
RDBECOLIOPC00140	ecpA	310084	310671	reverse	1	ecpA	[COMP-AINF:W]	W 
RDBECOLIOPC00141	yfjD	2748774	2750060	forward	1	yfjD	[COMP-AINF:W]	W 
RDBECOLIOPC00142	insL3	2514331	2515443	forward	1	insL3	[COMP-AINF:W]	W 
RDBECOLIOPC00143	adk	497175	497819	forward	1	adk	[COMP-AINF:W]	W 
RDBECOLIOPC00144	arcZ	3350577	3350697	forward	1	arcZ	[COMP-AINF-SINGLE-DIRECTON:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00145	wrbA-yccJ	1066864	1067708	reverse	2	wrbA|yccJ	[COMP-AINF:W]	W 
RDBECOLIOPC00146	ybhL	819884	820588	forward	1	ybhL	[COMP-AINF:W]	W 
RDBECOLIOPC00147	yqgEF	3092937	3093916	forward	2	yqgE|yqgF	[COMP-AINF:W]	W 
RDBECOLIOPC00148	ybcI	556032	556553	reverse	1	ybcI	[COMP-AINF:W]	W 
RDBECOLIOPC00149	phoBR	417142	419184	forward	2	phoB|phoR		 
RDBECOLIOPC00150	yafV	239419	240189	reverse	1	yafV	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00151	yadGH	142779	144472	forward	2	yadG|yadH	[COMP-AINF:W]	W 
RDBECOLIOPC00152	iprA	394506	395129	forward	1	iprA	[COMP-AINF:W]	W 
RDBECOLIOPC00153	trmC	2441764	2443770	forward	1	mnmC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00154	rlmD	2913699	2915000	reverse	1	rlmD	[COMP-AINF:W]	W 
RDBECOLIOPC00155	dmlA	1881912	1882997	forward	1	dmlA	[COMP-AINF:W]	W 
RDBECOLIOPC00156	ycgY	1245160	1245600	forward	1	ycgY	[COMP-AINF:W]	W 
RDBECOLIOPC00157	yedL	2010600	2011079	forward	1	yedL	[COMP-AINF:W]	W 
RDBECOLIOPC00158	aphA	4269414	4270127	forward	1	aphA	[COMP-AINF:W]	W 
RDBECOLIOPC00159	ybjG	882792	883388	reverse	1	ybjG		 
RDBECOLIOPC00160	uidABC	1691586	1696071	reverse	3	uidA|uidB|uidC		 
RDBECOLIOPC00161	yiiG	4087002	4088057	forward	1	yiiG	[COMP-AINF:W]	W 
RDBECOLIOPC00162	xylAB	3727917	3730765	reverse	3	xylA|xylZ|xylB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00163	ybfHG	715947	716597	reverse	1	ybfG	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00164	yhcC	3353121	3354050	reverse	1	yhcC	[COMP-AINF:W]	W 
RDBECOLIOPC00165	yhgN	3575071	3575664	forward	1	yhgN	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00166	selC	3836222	3836316	forward	1	selC	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00167	cvrA	1240335	1242071	reverse	1	cvrA	[COMP-AINF:W]	W 
RDBECOLIOPC00168	ytfL	4439872	4441215	reverse	1	paeA	[COMP-AINF:W]	W 
RDBECOLIOPC00169	ggt	3585081	3586823	reverse	1	ggt	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00170	hinT-ycfL-lpoB-thiK-nagZ-ycfP	1161885	1165685	forward	6	hinT|ycfL|lpoB|thiK|nagZ|ycfP	[COMP-AINF:W]	W 
RDBECOLIOPC00171	corA	4001426	4002376	forward	1	corA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00172	gltS	3827460	3828665	reverse	1	gltS	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00173	ykgEFG	321608	324453	forward	3	ykgE|ykgF|ykgG	[COMP-AINF:W]	W 
RDBECOLIOPC00174	fumD	1754932	1755141	reverse	1	fumD	[COMP-AINF:W]	W 
RDBECOLIOPC00175	yhjY	3712236	3712934	reverse	1	yhjY	[COMP-AINF:W]	W 
RDBECOLIOPC00176	yraQ	3297098	3298138	reverse	1	yraQ	[COMP-AINF:W]	W 
RDBECOLIOPC00178	aslA	3984352	3986007	reverse	1	aslA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00179	yraN	3295394	3295789	forward	1	yraN	[COMP-HINF:W]	W 
RDBECOLIOPC00180	yahB	333501	334433	reverse	1	yahB	[COMP-AINF:W]	W 
RDBECOLIOPC00181	slyX	3477640	3477858	forward	1	slyX	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00182	mcbR	1520262	1520927	forward	1	mcbR	[COMP-AINF:W]	W 
RDBECOLIOPC00183	yajI	432312	432851	reverse	1	yajI	[COMP-AINF:W]	W 
RDBECOLIOPC00184	ymgE	1244728	1244982	forward	1	ymgE	[COMP-AINF:W]	W 
RDBECOLIOPC00185	azoR	1482255	1482860	reverse	1	azoR	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00186	ychS	1286709	1286984	forward	1	ychS	[COMP-AINF:W]	W 
RDBECOLIOPC00187	yeeJ	2044995	2052014	forward	1	yeeJ	[COMP-AINF:W]	W 
RDBECOLIOPC00188	rdgC	409108	410019	reverse	1	rdgC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00189	bcsEFG	3696458	3699893	forward	3	bcsE|bcsF|bcsG	[COMP-AINF:W]	W 
RDBECOLIOPC00190	yccX	1030064	1030342	forward	1	yccX	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00191	bacA	3203310	3204131	reverse	1	bacA		 
RDBECOLIOPC00192	gnsB	1637609	1637782	reverse	1	gnsB	[COMP-AINF:W]	W 
RDBECOLIOPC00193	pldA	4004862	4005731	forward	1	pldA	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]	W 
RDBECOLIOPC00194	ynaK-ydaY	1425377	1425980	forward	2	ynaK|ydaY	[COMP-AINF:W]	W 
RDBECOLIOPC00195	nimT	1875673	1876854	forward	1	nimT	[COMP-AINF:W]	W 
RDBECOLIOPC00196	lgoT	4593361	4594722	reverse	1	lgoT	[COMP-AINF:W]	W 
RDBECOLIOPC00197	kbaZ-agaVWA	3278914	3281625	forward	4	kbaZ|agaV|agaW|agaA	[EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00198	yfiE	2714439	2715320	reverse	1	yfiE	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00199	maa	479367	479918	reverse	1	maa	[COMP-AINF:W]	W 
RDBECOLIOPC00200	yafU	238746	239084	reverse	1	yafU	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00201	omrA	2976102	2976189	reverse	1	omrA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00202	yoaA	1891325	1893235	reverse	1	yoaA	[COMP-AINF:W]	W 
RDBECOLIOPC00203	mcaS	1405658	1405751	reverse	1	mcaS	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00204	prpR	346857	348443	reverse	1	prpR		 
RDBECOLIOPC00205	ypfJ-tmcA	2593844	2596737	reverse	2	ypfJ|tmcA	[COMP-AINF:W]	W 
RDBECOLIOPC00206	dgcJ	1872041	1873531	forward	1	dgcJ	[EXP-IMP-POLAR-MUTATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00207	elaD	2382713	2383924	forward	1	elaD	[COMP-AINF:W]	W 
RDBECOLIOPC00208	atoSC	2320043	2323251	forward	2	atoS|atoC	[COMP-AINF:W]	W 
RDBECOLIOPC00210	ybaN	490882	491259	forward	1	ybaN	[COMP-AINF:W]	W 
RDBECOLIOPC00211	plaP	2085704	2087062	reverse	1	plaP	[COMP-AINF:W]	W 
RDBECOLIOPC00212	yqiJK	3192208	3194525	forward	2	yqiJ|yqiK	[COMP-AINF:W]	W 
RDBECOLIOPC00213	yodD	2024986	2025213	forward	1	yodD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00214	cydDC	927474	930962	reverse	2	cydD|cydC	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00215	mngR	765153	765875	reverse	1	mngR		 
RDBECOLIOPC00216	ilvC	3957970	3959445	forward	1	ilvC		 
RDBECOLIOPC00217	gshA	2814883	2816439	reverse	1	gshA	[COMP-AINF:W]	W 
RDBECOLIOPC00218	yidI	3856415	3856864	forward	1	yidI	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00219	dgcQ	2026323	2028017	reverse	1	dgcQ	[COMP-AINF:W]	W 
RDBECOLIOPC00220	uxuAB	4551636	4554361	forward	2	uxuA|uxuB	[EXP-IEP:W][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00221	micL	1958441	1958747	reverse	1	micL	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00222	agrA	3648063	3648144	forward	1	agrA	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00223	dnaX	492092	494023	forward	1	dnaX	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00224	purT	1930881	1932059	forward	1	purT	[COMP-AINF-SINGLE-DIRECTON:W]	W 
