# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) conformationName.  Name of the active conformation of the regulator.
## (5) regulatedId. Gene ID regulated by the Regulator (regulated Gene)
## (6) regulatedName. Gene regulated by the Regulator (regulated Gene)
## (7) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (8) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)conformationName	5)regulatedId	6)regulatedName	7)function	8)confidenceLevel 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00336	ftsQ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00341	ftsZ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00354	gabT	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00367	ggt	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00368	mnmG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00369	rsmG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00370	glgA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00372	glgC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00373	glgP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00445	hisP	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00449	hmp	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00450	hns	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00486	ilvA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00487	ilvB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00489	ilvD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00490	ilvE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00491	ilvH	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00492	ilvI	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00493	ilvM	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00494	ilvN	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00496	infA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00501	katE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00502	rpoS	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00523	leuO	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00531	livJ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00539	lrp	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00544	lysS	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00563	mazE	-+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00564	mazG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00671	osmB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00672	osmC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00682	pcnB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00726	phr	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00733	pnp	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00744	poxB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00752	prfB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00754	priB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00775	pth	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00795	pyrB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00801	pyrI	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00802	queA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00818	recF	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00825	relA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00852	rnpA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00860	rplI	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00879	rpmE	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00882	rpmH	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00891	rpsB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00895	rpsF	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00904	rpsO	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00907	rpsR	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00949	speC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00984	tgt	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00986	thrA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00987	thrB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00988	thrC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01004	tpr	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01005	treA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01019	trxA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01021	tsf	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01025	tufB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01080	yaiA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01083	yajC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01086	ybaA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01093	ybgA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01096	cspD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01101	rluC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01165	yhhA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01179	mioC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01200	argH	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01203	leuA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01221	uspE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01223	mazF	-+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01230	iraP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01243	ilvL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01248	ivbL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01250	thrL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01251	pyrL	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01252	leuL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01264	yghA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01281	dusB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01295	acnA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01299	gabD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01300	gabP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01308	msyB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01330	gluQ	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01341	folK	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01345	sufA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01348	glgS	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01356	uspA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01357	osmY	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01363	hdeA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01364	hdeB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01365	yhiD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01369	ychF	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01380	dps	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01409	csrA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01445	gadB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01447	qorA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01450	hdeD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01463	sra	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01470	ycgB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01483	fadD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01484	cfa	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01486	ychH	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01493	wrbA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01497	gadE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01523	thiQ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01524	thiP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01525	thiB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01526	leuD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01527	leuC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01528	leuB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01687	otsA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01688	otsB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01690	setA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01728	talA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01738	yebF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01742	aidB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01803	yiiS	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01804	uspD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01824	rpoE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01853	yjbJ	+	? 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01913	yehE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01925	yehW	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01926	yehX	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01927	yehY	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01928	osmF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01931	yohC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01975	yojI	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC01995	sgrR	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02000	efp	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02001	tktB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02013	prfC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02019	rssB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02022	hisJ	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02023	hisQ	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02047	narU	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02077	cbpA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02078	cbpM	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02110	uspB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02111	dtpB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02118	mdtE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02119	mdtF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02121	gadX	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02123	treF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02211	rseA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02247	lhgD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02331	yiaG	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02348	grxB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02357	yccJ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02395	ybeL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02446	alaT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02447	alaU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02448	alaV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02455	argX	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02465	glnU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02466	glnV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02467	glnW	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02468	glnX	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02469	gltT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02470	gltU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02471	gltV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02472	gltW	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02473	glyT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02479	hisR	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02480	ileT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02481	ileU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02482	ileV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02486	leuT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02488	leuV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02489	leuW	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02490	leuX	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02495	metT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02496	metU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02497	metV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02499	metZ	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02505	proM	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02507	rrfA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02508	rrfB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02509	rrfC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02510	rrfD	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02511	rrfE	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02512	rrfG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02513	rrfH	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02514	rrlA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02515	rrlB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02516	rrlC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02517	rrlD	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02518	rrlE	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02519	rrlG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02520	rrlH	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02521	rrsA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02522	rrsB	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02523	rrsC	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02524	rrsD	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02525	rrsE	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02526	rrsG	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02527	rrsH	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02528	rrfF	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02533	serW	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02538	thrT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02539	thrU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02540	thrV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02543	tyrT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02544	tyrU	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02545	tyrV	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02554	metW	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02558	rmf	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02563	gadA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02674	sgrT	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02682	ilvX	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02758	gadF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02759	idlP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02760	ytiC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02761	ytiD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02899	csrB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02912	csrC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02930	tff	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02939	isrC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02953	sroA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02956	sroD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02963	ecnB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC02979	sgrS	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03121	yahO	+	? 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03154	yajO	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03176	glsA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03177	ybaT	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03238	ybdK	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03297	ybgS	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03308	ybhN	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03309	clsB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03310	ybhP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03353	ybjP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03367	ftsK	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03372	ycaP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03401	csgI	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03402	yccU	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03442	csgG	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03443	csgF	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03444	csgE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03445	csgD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03504	ariR	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03630	ydcK	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03631	ydcL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03649	curA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03663	adhP	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03674	gadC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03693	tam	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03731	ynfD	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03773	sodC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03791	ldtE	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC03792	sufE	+	W 
