# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Transcription Factor (TF) identifier assigned by RegulonDB
## (2) TF Name
## (3) TF Synonyms List
## (4) Gene Coding for the TF
## (5) Gene Bnumbers Coding for the TF
## (6) TF Active Conformations
## (7) TF Inactive Conformations
## (8) TF Active Conformations  Synonyms List
## (9) TF Inactive Conformations  Synonyms List
## (10) Effector Name related to  TF Active Conformations
## (11) Effector Name related to  TF Inactive Conformations
## (12) Effector Synonyms List related to TF Active Conformations TF 
## (13) Effector Synonyms List related to TF Inactive Conformations TF
## (14) TF Symmetry
## (15) Evidence that supports the TF conformation [Evidence code | Evidence type: C = Confirmed, S = Strong, W = Weak | Evidence name ]
## (16) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (17) confidenceLevel. Confidence level (Values: Confirmed, Strong, Weak)
## (18) TF conformation reference identifier (PMID)
1)tfId	2)tfName	3)tfSynonyms	4)geneCodingForTF	5)geneBnumberCodingForTF	6)tfActiveConformations	7)tfInactiveConformations	8)tfActiveConformationsSynonyms	9)tfInactiveConformationsSynonyms	10)tfActiveConformationsEffector	11)tfInactiveConformationsEffector	12)tfActiveConformationsEffectorSynonyms	13)tfInactiveConformationsEffectorSynonyms	14)symmetry	15)tfEvidences	16)additiveEvidences	17)confidenceLevel	18)tfConformationPMID 
RDBECOLITFC00011	RcnR	YohL|RcnR	rcnR	b2105	RcnR	RcnR-Co<SUP>2+</SUP>|RcnR-Ni<SUP>2+</SUP>	YohL|RcnR			Co<SUP>2+</SUP>|Ni<sup>2+</sup>		Co<SUP>++</SUP>|cobalt(II)|Co<sup>II</sup>|nickel(II)|Ni<sup>++</sup>|Ni<sup>II</sup>	INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP:W|EXP-IPI:W		S	16956381|17120142|19703465|18505253 
RDBECOLITFC00012	CytR	CytR	cytR	b3934	DNA-binding transcriptional repressor CytR	CytR-cytidine				cytidine			INVERTED-REPEAT	EXP-IEP:W|EXP-IPI:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S		S	1328649|1655726|3515317 
RDBECOLITFC00013	MlrA	MlrA|YehV	mlrA	b2127	MlrA		MlrA|YehV						INVERTED-REPEAT	COMP-HINF:W|COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	11489123|12775697|15556475|20874755 
RDBECOLITFC00014	PrpR	YahP|PrpR	prpR	b0330	DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate				(2<i>S</i>,3<i>S</i>)-2-methylcitrate		(2<i>S</i>,3<i>S</i>)-2-hydroxybutane-1,2,3-tricarboxylate|(2<i>S</i>,3<i>S</i>)-2-methylcitric acid			EXP-IDA:W|EXP-IEP:W		W	15805526 
RDBECOLITFC00015	MatA	EcpR|YkgK|MatA	matA	b0294	MatA		EcpR|YkgK|MatA						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	15556475|22422754 
RDBECOLITFC00016	AlaS	Act|LovB|AlaS|ala-act	alaS	b2697	AlaS-L-alanine DNA-binding transcriptional repressor				L-alanine		alanine|L-&alpha;-alanine|ala		INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	6264314 
RDBECOLITFC00017	ArgP	ArgP|IciA	argP	b2916	DNA-binding transcriptional dual regulator ArgP	ArgP-L-lysine	ArgP|IciA			L-lysine		K|lysine|L-lys|2,6-diaminohexanoic acid|lysine acid|lys		COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		S	2034653|8825783|9819053|17504942|18502871 
RDBECOLITFC00018	GlcC	YghN|GlcC	glcC	b2980	GlcC-glycolate DNA-binding transcriptional dual regulator				glycolate		hydroxyacetic acid|glycolic acid|glycollate		INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W|EXP-IEP:W		W	8606183|9880556 
RDBECOLITFC00019	PuuR	YcjC|PuuR	puuR	b1299	PuuR	PuuR-putrescine	YcjC|PuuR			putrescine		diaminobutane|1,4-diaminobutane|1,4-butanediamine|tetramethylenediamine	INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W		W	15556475|15590624|40178519 
RDBECOLITFC00020	YiaU	YiaU|LpsR|CsuR	yiaU	b3585	YiaU		YiaU|LpsR|CsuR						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475 
RDBECOLITFC00021	FeaR	MaoX|YdbM|MaoB|FeaR	feaR	b1384	FeaR		MaoX|YdbM|MaoB|FeaR						INVERTED-REPEAT	EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		W	8631685|9043126 
RDBECOLITFC00022	NtrC	GlnT|GlnG|NtrC|NtrC response regulator	glnG	b3868	NtrC phosphorylated dimer|NtrC-P<sup>asp</sup>								INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	12730324|2882477|3304660|6148334 
RDBECOLITFC00023	Mlc	Mlc|DgsA	mlc	b1594	Mlc		Mlc|DgsA						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS:W		W	10464268|10469172|9484893|9767573|9484892 
RDBECOLITFC00024	SrsR	SrsR|YgfI|DhfA	srsR	b2921	SrsR		SrsR|YgfI|DhfA						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475 
RDBECOLITFC00025	YeiL	YeiL	yeiL	b2163	YeiL		YeiL						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		W	11101674|9278503 
RDBECOLITFC00026	MprA	MprA|EmrR	mprA	b2684	DNA-binding transcriptional repressor MprA	MprA-salicylate|MprA-carbonylcyanide <i>m</i>-chlorophenylhydrazone|MprA-2,4-dinitrophenol				salicylate|carbonylcyanide <i>m</i>-chlorophenylhydrazone|2,4-dinitrophenol		salicylic acid|o-hydroxybenzoic acid|2-hydroxybenzoic acid|SA|2-HBA|2-hydroxybenzoate|o-hydroxybenzoate|CCCP|(3-chlorophenyl)hydrazonomalononitrile|Carbonylcyanide-3-chlorophenylhydrazone|1-hydroxy-2,4-dinitrobenzene|2,4-DNP|&alpha;-dinitrophenol	INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP:W		S	10438794|10991887|30578262|33077659|7730261 
RDBECOLITFC00027	FrmR	YaiN|FrmR	frmR	b0357	DNA-binding transcriptional repressor FrmR	FrmR-formaldehyde	YaiN|FrmR			formaldehyde		formalin|methanal|formol		EXP-IEP:W|COMP-HINF:W|IDA-PURIFIED-PROTEIN-NH:S		S	15466022|27983483 
RDBECOLITFC00028	TdcA	TdcA|transcriptional activator of tdc operon	tdcA	b3118	TdcA		TdcA|transcriptional activator of tdc operon						INVERTED-REPEAT	EXP:W		W	2660107|3003533|7928991|8413189|8413267 
RDBECOLITFC00029	EvgA	EvgA response regulator	evgA	b2369	DNA-binding transcriptional activator EvgA-phosphorylated									EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IGI:W		W	10923791|11157960|11914367|12135487|12399493|12670992|14523115|15126461|15489450 
RDBECOLITFC00030	TyrR	TyrR	tyrR	b1323	TyrR|DNA-binding transcriptional repressor TyrR-L-tyrosine|DNA-binding transcriptional repressor TyrR-L-phenylalanine		TyrR		L-tyrosine|L-phenylalanine		Y|tyrosine|L-tyr|tyr|2S-&alpha;-phenylalanine|F|endophenyl|phenylalanine|L-phe|phe		INVERTED-REPEAT	IDA-PURIFIED-PROTEIN-NH:S|EXP-IMP:W		S	15049824|4887504|1943694|3001057|8106498|8444880|8449883|7961453|1970563 
RDBECOLITFC00031	CaiF	CaiF	caiF	b0034	CaiF-L-carnitine				L-carnitine		&gamma;-trimethyl-hydroxybutyrobetaine|(3<i>R</i>)-3-hydroxy-4-(trimethylammino)butanoate|vitamin B T|bicarnesine|(<i>R</i>)-carnitine|&gamma;-L-trimethyl-&beta;-hydroxybutyrobetaine|vitamin Bt|3-carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium					None	 
RDBECOLITFC00032	GadW	YhiW|GadW	gadW	b3515	GadW		YhiW|GadW						ASYMMETRIC	EXP-IDA-PURIFIED-PROTEIN:W|EXP:W		W	12446650 
RDBECOLITFC00033	IdnR	GntH|YjgS|IdnR	idnR	b4264	IdnR|IdnR-5-dehydro-D-gluconate DNA-binding transcriptional dual regulator		GntH|YjgS|IdnR		5-dehydro-D-gluconate		5-keto-D-gluconic acid|5-keto-D-gluconate|5-ketogluconate|5-dehydrogluconate		INVERTED-REPEAT	EXP-IEP:W		W	11441462|14973046 
RDBECOLITFC00034	RhaS	RhaS	rhaS	b3905	RhaS|RhaS-L-rhamnose DNA-binding transcriptional activator		RhaS		L-rhamnose		6-deoxy-L-mannose|L-mannomethylose		ASYMMETRIC	COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IEP:W|EXP-IPI:W|EXP-IDA-PURIFIED-PROTEIN:W		W	3316663|8230210|8346018|10464186|10940041|15342598|17513476|18366439 
RDBECOLITFC00035	UvrY	YecB|UvrY|UvrY response regulator	uvrY	b1914	DNA-binding transcriptional activator UvrY-phosphorylated									COMP-AINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W|EXP-IGI-FUNC-COMPLEMENTATION:S		S	 
RDBECOLITFC00036	DinJ-YafQ	DinJ/Q	yafQ|dinJ	b0225|b0226	DinJ-YafQ		DinJ/Q						INVERTED-REPEAT	EXP-IGI:W|EXP-IDA:W		W	17263853|19210620 
RDBECOLITFC00037	HcaR	PhdR|HcaR|YfhT	hcaR	b2537	HcaR|DNA-binding transcriptional dual regulator HcaR-3-phenylpropanoate		PhdR|HcaR|YfhT		3-phenylpropanoate		hydrocinnamate|3-phenylpropionic acid|hydrocinnamic acid|HCA|phenylpropanoate|3-phenylpropionate		INVERTED-REPEAT	EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		W	15808934|9603882|11200225 
RDBECOLITFC00038	CysB	positive transcriptional regulator for cysteine regulon|CysB	cysB	b1275	DNA-binding transcriptional dual regulator CysB		positive transcriptional regulator for cysteine regulon|CysB							COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PART-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IMP:W		W	1435253|1541275|2182030|3032952|3094306|27718375|14663078|15255893|6792186|9401024 
RDBECOLITFC00039	NfeR	NfeR|YqjI	nfeR	b3071	NfeR	NfeR-Ni(2+)	NfeR|YqjI			Ni<sup>2+</sup>		nickel(II)|Ni<sup>++</sup>|Ni<sup>II</sup>	INVERTED-REPEAT			None	 
RDBECOLITFC00040	CspA	CspA|major cold shock protein 7.4|CS7.4|F10.6|DNA-binding transcriptional activator CspA	cspA	b3556	CspA		CspA|major cold shock protein 7.4|CS7.4|F10.6|DNA-binding transcriptional activator CspA						ASYMMETRIC	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	19486664|1961761|28334975|32753505|3553157|8995247 
RDBECOLITFC00041	MazE	MazE|ChpR|ChpAI	mazE	b2783	MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor									EXP-IPI:W|EXP:W		W	 
RDBECOLITFC00042	PspF	YcjB|PspF	pspF	b1303	DNA-binding transcriptional dual regulator PspF		YcjB|PspF						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|COMP-AINF-FN-FROM-SEQ:W		W	15485810|8606168|9260970|9302010|9878422 
RDBECOLITFC00043	CpxR	YiiA|CpxR|CpxR response regulator	cpxR	b3912	CpxR|CpxR-phosphorylated		YiiA|CpxR|CpxR response regulator							EXP-IEP:W|EXP-IPI:W|COMP-HINF-FN-FROM-SEQ:W|COMP-AINF-FN-FROM-SEQ:W		W	15686558|16077119|16487683|7883164|8294007|9159398|1482126|2157156|7699720|8098993 
RDBECOLITFC00044	NarP	NarP|nitrate/nitrite response regulator NarP	narP	b2193	DNA-binding transcriptional dual regulator NarP-phosphorylated								INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W		S	15978080|8501030|9302020 
RDBECOLITFC00045	MetJ	MetJ	metJ	b3938	MetJ-SAM	MetJ-adenine|MetJ-MTA|MetJ-S-adenosylmethionine|MetJ-SAM-AdoMet			<i>S</i>-adenosyl-L-methionine	adenine|<i>S</i>-methyl-5'-thioadenosine|<i>S</i>-adenosyl-L-methionine|MetJ-S-adenosylmethionine	(<i>S</i>)-S-adenosyl-L-methionine|AdoMet|SAM|2-<i>S</i>-adenosyl-L-methionine|<i>S</i>-adenosyl-methionine|adenosylmethionine|<i>S</i>-adenosylmethionine	6-aminopurine|A|methylthioadenosine|5'-methylthioadenosine|MTA|5'-deoxy-5'-(methylsulfanyl)adenosine|5'-deoxy-5'-(methylthio)adenosine|(<i>S</i>)-S-adenosyl-L-methionine|AdoMet|SAM|2-<i>S</i>-adenosyl-L-methionine|<i>S</i>-adenosyl-methionine|adenosylmethionine|<i>S</i>-adenosylmethionine|B3938|MetJ|MetJ-SAM		IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W|EXP-IPI:W		S	11448880|2543976|2994061|6094549|22890386 
RDBECOLITFC00046	YdaT	YdaT	ydaT	b1358	YdaT		YdaT							COMP-HINF:W|EXP-IMP:W		W	12886937|29205229|31372643 
RDBECOLITFC00047	ZraR	HydG|ZraR response regulator	zraR	b4004	DNA-binding transcriptional activator ZraR-phosphorylated									COMP-HINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IGI-FUNC-COMPLEMENTATION:S|COMP:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	11243806|30389436 
RDBECOLITFC00048	AdiY	AdiY	adiY	b4116	AdiY		AdiY						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		W	8704970 
RDBECOLITFC00049	PdeL	PdeL|YahA	pdeL	b0315	DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL									COMP-HINF:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	26553851 
RDBECOLITFC00050	H-NS	Irk|MsyA|PilG|TopS|TopX|VirR|Drs|Drc|Cur|Hns|FimG|DrdX|BglY|HnsA|DNA-binding protein HLP-II (HU, BH2, HD, NS)|OsmZ|H-NS	hns	b1237	H-NS	H-NS-2-C-methyl-D-erythritol-2,4-cyclodiphosphate	Irk|MsyA|PilG|TopS|TopX|VirR|Drs|Drc|Cur|Hns|FimG|DrdX|BglY|HnsA|DNA-binding protein HLP-II (HU, BH2, HD, NS)|OsmZ|H-NS			2-C-methyl-D-erythritol-2,4-cyclodiphosphate		ME-2,4cPP|MEcPP	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IPI:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	11278074|15100692|15795232|15853876|16384714|16879983|16980475|17116239|17553830|17827501|17881364|8890170|9513262|9987132|1537791|1691451|2020545|2126011|2177526|2841565|3135462|6370250|7748941|7934818|8437561|39572562 
RDBECOLITFC00051	AlsR	AlsR|YjcY|RpiR	alsR	b4089	AlsR	AlsR-D-allose	AlsR|YjcY|RpiR			D-allose			INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W|COMP-HINF:W|EXP-IPI:W		W	8576032|9401019|10559180 
RDBECOLITFC00052	PaaX	YdbY|PaaX	paaX	b1399	DNA-binding transcriptional repressor PaaX	PaaX-phenylacetyl-CoA	YdbY|PaaX			phenylacetyl-CoA		phenylacetate-CoA	INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W		W	10766858|11243806 
RDBECOLITFC00053	RclR	RclR|YkgD	rclR	b0305	RclR		RclR|YkgD						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475 
RDBECOLITFC00054	LexA	Tsl|Spr|UmuA|ExrA|LexA	lexA	b4043	DNA-binding transcriptional repressor LexA		Tsl|Spr|UmuA|ExrA|LexA						INVERTED-REPEAT	EXP-IMP-SITE-MUTATION:S|EXP-IDA-PURIFIED-PROTEIN:W		S	2780544|6261224|6272195|7013987|7027255|7027256|8076591|8265357|160562 
RDBECOLITFC00055	YqhC	YqhC	yqhC	b3010	YqhC		YqhC						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10734204|15556475|20543070 
RDBECOLITFC00056	YefM	YefM	yefM	b2017	antitoxin/DNA-binding transcriptional repressor YefM								INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W		W	17170003 
RDBECOLITFC00057	YieP	YieP	yieP	b3755	YieP		YieP						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IPI:W		W	15556475|30137486|33149261 
RDBECOLITFC00058	DeoR	NucR|DeoR|transcriptional repressor for deo operon, tsx, nupG	deoR	b0840	DeoR		NucR|DeoR|transcriptional repressor for deo operon, tsx, nupG						INVERTED-REPEAT	EXP:W		W	2653814|2994018 
RDBECOLITFC00059	HicB	YdcQ|HicB	hicB	b1438	HicB		YdcQ|HicB						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IGI:W|EXP-IMP:W		W	15556475|17172327|19060138 
RDBECOLITFC00060	MarA	CfxB|InaR|NorB|SoxQ|NfxC|MarA	marA	b1531	MarA		CfxB|InaR|NorB|SoxQ|NfxC|MarA						ASYMMETRIC	EXP:W		W	27105118|31251753|31438868|8383113|8491710|8522515 
RDBECOLITFC00061	StpA	HnsB|StpA|H-NS-like DNA-binding transcriptional repressor with RNA chaperone activity	stpA	b2669	StpA		HnsB|StpA|H-NS-like DNA-binding transcriptional repressor with RNA chaperone activity						INVERTED-REPEAT	EXP:W		W	 
RDBECOLITFC00062	DecR	CyuR|DecR|YbaO	decR	b0447	DecR		CyuR|DecR|YbaO						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W|EXP-IEP:W|EXP-IPI:W		W	10734204|10850996|15556475|27435271|30137486 
RDBECOLITFC00063	CadC	CadC	cadC	b4133	CadC		CadC						INVERTED-REPEAT	EXP-IMP:W		W	1370290|18086202|7830562 
RDBECOLITFC00064	GalR	GalR	galR	b2837	GalR|GalR-D-galactose		GalR		D-galactose		D-Gal		INVERTED-REPEAT	EXP-IEP:W|EXP-IPI:W|EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S		S	12169637|15533432|15807530|17630975|9218807|9325090|6283521|6350601|7934815|8188660|8416900|8982002 
RDBECOLITFC00065	ChbR	CelD	chbR	b1735	DNA binding transcriptional dual regulator ChbR		CelD						ASYMMETRIC	EXP-IDA:W		W	15066032|2179047|22797760 
RDBECOLITFC00066	FhlA	Fhl|FhlA|formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons	fhlA	b2731	FhlA-formate DNA-binding transcriptional activator				formate		formic acid|methanoate		INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IGI-FUNC-COMPLEMENTATION:S		S	8034727 
RDBECOLITFC00067	MazEF	MazE-MazF "addiction module"|MazFE|MazEF|MazE-MazF	mazF|mazE	b2782|b2783	MazEF		MazE-MazF "addiction module"|MazFE|MazEF|MazE-MazF						INVERTED-REPEAT	EXP-IPI:W|EXP:W		W	36328526 
RDBECOLITFC00068	HipAB	HipBA	hipB|hipA	b1508|b1507	HipAB		HipBA						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W		W	24089363|8021189 
