entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,complex_type,is_virtual,components,critical_components,assembly_condition,notes
gene.b0011,gene,yaaW,b0011|yaaW|yaaW,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0011,"Dbxref:ASAP:ABE-0000037,ECOCYC:G6082,GeneID:944771|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:10643-11356:-; feature_type=gene
gene.b0012,gene,mbiA,b0012|mbiA|mbiA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0012,"Dbxref:ASAP:ABE-0000040,ECOCYC:EG11509,GeneID:948295|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:10830-11315:+; feature_type=gene
gene.b0013,gene,yaaI,b0013|yaaI|yaaI,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0013,"Dbxref:ASAP:ABE-0000043,ECOCYC:G8202,GeneID:944751|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:11382-11786:-; feature_type=gene
gene.b0014,gene,dnaK,b0014|dnaK|dnaK,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0014,"Dbxref:ASAP:ABE-0000052,ECOCYC:EG10241,GeneID:944750|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:12163-14079:+; feature_type=gene
gene.b0015,gene,dnaJ,b0015|dnaJ|dnaJ,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0015,"Dbxref:ASAP:ABE-0000054,ECOCYC:EG10240,GeneID:944753|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:14168-15298:+; feature_type=gene
gene.b0016,gene,insL1,b0016|insL1|insL1,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0016,"Dbxref:ASAP:ABE-0000058,ECOCYC:G6083,GeneID:944754|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:15445-16557:+; feature_type=gene
gene.b0018,gene,mokC,b0018|mokC|mokC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0018,"Dbxref:ASAP:ABE-0000064,ECOCYC:EG10373,GeneID:944756|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:16751-16960:-; feature_type=gene
gene.b4412,gene,hokC,b4412|hokC|hokC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b4412,"Dbxref:ASAP:ABE-0047278,ECOCYC:G0-9563,GeneID:2847744|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:16751-16903:-; feature_type=gene
gene.b4413,gene,sokC,b4413|sokC|sokC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b4413,"Dbxref:ASAP:ABE-0047238,ECOCYC:G0-9581,GeneID:2847745|gbkey:Gene|gene_biotype:ncRNA",false,,,,,,NC_000913.3:16952-17010:+; feature_type=gene
rna.b4413,rna,sokC,b4413|sokC,active,active|inhibited|degraded|overexpressed,small regulatory RNA antitoxin SokC,,cytosol,NCBI RefSeq,rna-b4413,"Dbxref:ASAP:ABE-0047238,ECOCYC:G0-9581,GeneID:2847745|gbkey:ncRNA",false,,,,,,NC_000913.3:16952-17010:+; feature_type=ncRNA
gene.b0019,gene,nhaA,b0019|nhaA|nhaA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0019,"Dbxref:ASAP:ABE-0000068,ECOCYC:EG10652,GeneID:944758|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:17489-18655:+; feature_type=gene
gene.b0020,gene,nhaR,b0020|nhaR|nhaR,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0020,"Dbxref:ASAP:ABE-0000072,ECOCYC:EG11078,GeneID:944757|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:18715-19620:+; feature_type=gene
gene.b0021,gene,insB1,b0021|insB1|insB1,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0021,"Dbxref:ASAP:ABE-0000075,ECOCYC:G6085,GeneID:944743|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:19811-20314:-; feature_type=gene
gene.b0022,gene,insA1,b0022|insA1|insA1,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0022,"Dbxref:ASAP:ABE-0000078,ECOCYC:G6086,GeneID:948449|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:20233-20508:-; feature_type=gene
gene.b0023,gene,rpsT,b0023|rpsT|rpsT,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0023,"Dbxref:ASAP:ABE-0000082,ECOCYC:EG10919,GeneID:944759|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:20815-21078:-; feature_type=gene
gene.b0024,gene,yaaY,b0024|yaaY|yaaY,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0024,"Dbxref:ASAP:ABE-0000089,ECOCYC:G6087,GeneID:949128|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:21181-21399:+; feature_type=gene
gene.b0025,gene,ribF,b0025|ribF|ribF,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0025,"Dbxref:ASAP:ABE-0000091,ECOCYC:EG11079,GeneID:949129|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:21407-22348:+; feature_type=gene
gene.b0026,gene,ileS,b0026|ileS|ileS,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0026,"Dbxref:ASAP:ABE-0000094,ECOCYC:EG10492,GeneID:944761|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:22391-25207:+; feature_type=gene
gene.b0027,gene,lspA,b0027|lspA|lspA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0027,"Dbxref:ASAP:ABE-0000096,ECOCYC:EG10548,GeneID:944800|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:25207-25701:+; feature_type=gene
gene.b0028,gene,fkpB,b0028|fkpB|fkpB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0028,"Dbxref:ASAP:ABE-0000101,ECOCYC:EG11080,GeneID:944807|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:25826-26275:+; feature_type=gene
gene.b0029,gene,ispH,b0029|ispH|ispH,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0029,"Dbxref:ASAP:ABE-0000103,ECOCYC:EG11081,GeneID:944777|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:26277-27227:+; feature_type=gene
gene.b0030,gene,rihC,b0030|rihC|rihC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0030,"Dbxref:ASAP:ABE-0000109,ECOCYC:EG11082,GeneID:944796|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:27293-28207:+; feature_type=gene
gene.b0031,gene,dapB,b0031|dapB|dapB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0031,"Dbxref:ASAP:ABE-0000112,ECOCYC:EG10206,GeneID:944762|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:28374-29195:+; feature_type=gene
gene.b0032,gene,carA,b0032|carA|carA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0032,"Dbxref:ASAP:ABE-0000118,ECOCYC:EG10134,GeneID:949025|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:29651-30799:+; feature_type=gene
gene.b0033,gene,carB,b0033|carB|carB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0033,"Dbxref:ASAP:ABE-0000121,ECOCYC:EG10135,GeneID:944775|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:30817-34038:+; feature_type=gene
gene.b0034,gene,caiF,b0034|caiF|caiF,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0034,"Dbxref:ASAP:ABE-0000125,ECOCYC:G6088,GeneID:944795|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:34300-34695:+; feature_type=gene
gene.b0035,gene,caiE,b0035|caiE|caiE,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0035,"Dbxref:ASAP:ABE-0000128,ECOCYC:EG12608,GeneID:948999|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:34781-35371:-; feature_type=gene
gene.b0036,gene,caiD,b0036|caiD|caiD,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0036,"Dbxref:ASAP:ABE-0000130,ECOCYC:EG11557,GeneID:948995|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:35377-36162:-; feature_type=gene
gene.b0037,gene,caiC,b0037|caiC|caiC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0037,"Dbxref:ASAP:ABE-0000133,ECOCYC:EG11558,GeneID:944886|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:36271-37824:-; feature_type=gene
gene.b0038,gene,caiB,b0038|caiB|caiB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0038,"Dbxref:ASAP:ABE-0000136,ECOCYC:EG11559,GeneID:948997|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:37898-39115:-; feature_type=gene
gene.b0039,gene,caiA,b0039|caiA|caiA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0039,"Dbxref:ASAP:ABE-0000139,ECOCYC:EG11560,GeneID:949064|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:39244-40386:-; feature_type=gene
gene.b0040,gene,caiT,b0040|caiT|caiT,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0040,"Dbxref:ASAP:ABE-0000141,ECOCYC:EG11561,GeneID:944765|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:40417-41931:-; feature_type=gene
gene.b0041,gene,fixA,b0041|fixA|fixA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0041,"Dbxref:ASAP:ABE-0000145,ECOCYC:EG11562,GeneID:947316|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:42403-43173:+; feature_type=gene
gene.b0042,gene,fixB,b0042|fixB|fixB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0042,"Dbxref:ASAP:ABE-0000147,ECOCYC:EG11563,GeneID:948939|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:43188-44129:+; feature_type=gene
gene.b0043,gene,fixC,b0043|fixC|fixC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0043,"Dbxref:ASAP:ABE-0000149,ECOCYC:EG11564,GeneID:948958|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:44180-45466:+; feature_type=gene
gene.b0044,gene,fixX,b0044|fixX|fixX,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0044,"Dbxref:ASAP:ABE-0000151,ECOCYC:EG11565,GeneID:948590|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:45463-45750:+; feature_type=gene
gene.b0045,gene,yaaU,b0045|yaaU|yaaU,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0045,"Dbxref:ASAP:ABE-0000156,ECOCYC:EG11566,GeneID:944766|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:45807-47138:+; feature_type=gene
gene.b0046,gene,kefF,b0046|kefF|kefF,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0046,"Dbxref:ASAP:ABE-0000159,ECOCYC:EG11568,GeneID:944767|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:47246-47776:+; feature_type=gene
gene.b0047,gene,kefC,b0047|kefC|kefC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0047,"Dbxref:ASAP:ABE-0000161,ECOCYC:EG10521,GeneID:944773|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:47769-49631:+; feature_type=gene
gene.b0048,gene,folA,b0048|folA|folA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0048,"Dbxref:ASAP:ABE-0000164,ECOCYC:EG10326,GeneID:944790|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:49823-50302:+; feature_type=gene
gene.b0049,gene,apaH,b0049|apaH|apaH,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0049,"Dbxref:ASAP:ABE-0000167,ECOCYC:EG10048,GeneID:944770|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:50380-51222:-; feature_type=gene
gene.b0050,gene,apaG,b0050|apaG|apaG,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0050,"Dbxref:ASAP:ABE-0000169,ECOCYC:EG10047,GeneID:944772|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:51229-51606:-; feature_type=gene
gene.b0051,gene,rsmA,b0051|rsmA|rsmA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0051,"Dbxref:ASAP:ABE-0000175,ECOCYC:EG10523,GeneID:944939|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:51609-52430:-; feature_type=gene
gene.b0052,gene,pdxA,b0052|pdxA|pdxA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0052,"Dbxref:ASAP:ABE-0000178,ECOCYC:EG10691,GeneID:944919|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:52427-53416:-; feature_type=gene
gene.b0053,gene,surA,b0053|surA|surA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0053,"Dbxref:ASAP:ABE-0000180,ECOCYC:EG10985,GeneID:944812|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:53416-54702:-; feature_type=gene
gene.b0054,gene,lptD,b0054|lptD|lptD,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0054,"Dbxref:ASAP:ABE-0000183,ECOCYC:EG11569,GeneID:945011|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:54755-57109:-; feature_type=gene
gene.b0055,gene,djlA,b0055|djlA|djlA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0055,"Dbxref:ASAP:ABE-0000187,ECOCYC:EG11570,GeneID:948992|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:57364-58179:+; feature_type=gene
gene.b0056,gene,yabP,b0056|yabP|yabP,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0056,"Dbxref:ASAP:ABE-0000192,ECOCYC:EG12610,GeneID:945039|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:58474-59124:+; feature_type=gene
gene.b0057,gene,yabQ,b0057|yabQ|yabQ,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0057,"Dbxref:ASAP:ABE-0000194,ECOCYC:EG12611,GeneID:38094933|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:59121-59279:+; feature_type=gene
gene.b0058,gene,rluA,b0058|rluA|rluA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0058,"Dbxref:ASAP:ABE-0000196,ECOCYC:EG12609,GeneID:946262|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:59687-60346:-; feature_type=gene
gene.b0059,gene,rapA,b0059|rapA|rapA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0059,"Dbxref:ASAP:ABE-0000198,ECOCYC:EG11083,GeneID:948523|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:60358-63264:-; feature_type=gene
gene.b0060,gene,polB,b0060|polB|polB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0060,"Dbxref:ASAP:ABE-0000202,ECOCYC:EG10747,GeneID:944779|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:63429-65780:-; feature_type=gene
gene.b0061,gene,araD,b0061|araD|araD,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0061,"Dbxref:ASAP:ABE-0000209,ECOCYC:EG10055,GeneID:945294|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:65855-66550:-; feature_type=gene
gene.b0062,gene,araA,b0062|araA|araA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0062,"Dbxref:ASAP:ABE-0000221,ECOCYC:EG10052,GeneID:947511|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:66835-68337:-; feature_type=gene
gene.b0063,gene,araB,b0063|araB|araB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0063,"Dbxref:ASAP:ABE-0000223,ECOCYC:EG10053,GeneID:946017|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:68348-70048:-; feature_type=gene
gene.b0064,gene,araC,b0064|araC|araC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0064,"Dbxref:ASAP:ABE-0000236,ECOCYC:EG10054,GeneID:944780|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:70387-71265:+; feature_type=gene
gene.b0065,gene,yabI,b0065|yabI|yabI,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0065,"Dbxref:ASAP:ABE-0000241,ECOCYC:EG11571,GeneID:944783|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:71351-72115:+; feature_type=gene
gene.b0066,gene,thiQ,b0066|thiQ|thiQ,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0066,"Dbxref:ASAP:ABE-0000244,ECOCYC:EG11572,GeneID:944785|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:72229-72927:-; feature_type=gene
gene.b0067,gene,thiP,b0067|thiP|thiP,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0067,"Dbxref:ASAP:ABE-0000246,ECOCYC:EG11573,GeneID:944784|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:72911-74521:-; feature_type=gene
gene.b0068,gene,thiB,b0068|thiB|thiB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0068,"Dbxref:ASAP:ABE-0000249,ECOCYC:EG11574,GeneID:946306|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:74497-75480:-; feature_type=gene
gene.b4762,gene,sroA,b4762|sroA|sroA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b4762,"Dbxref:ECOCYC:G0-9381,GeneID:63925622|gbkey:Gene|gene_biotype:ncRNA",false,,,,,,NC_000913.3:75516-75608:-; feature_type=gene
rna.b4762,rna,sroA,b4762|sroA,active,active|inhibited|degraded|overexpressed,small RNA SroA,,cytosol,NCBI RefSeq,rna-b4762,"Dbxref:ECOCYC:G0-9381,GeneID:63925622|gbkey:ncRNA",false,,,,,,NC_000913.3:75516-75608:-; feature_type=ncRNA
gene.b0069,gene,sgrR,b0069|sgrR|sgrR,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0069,"Dbxref:ASAP:ABE-0000251,ECOCYC:EG12094,GeneID:944788|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:75644-77299:-; feature_type=gene
gene.b4577,gene,sgrS,b4577|sgrS|sgrS,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b4577,"Dbxref:ASAP:ABE-0285090,ECOCYC:G0-9941,GeneID:4056038|gbkey:Gene|gene_biotype:ncRNA",false,,,,,,NC_000913.3:77367-77593:+; feature_type=gene
rna.b4577,rna,sgrS,b4577|sgrS,active,active|inhibited|degraded|overexpressed,small regulatory RNA SgrS,,cytosol,NCBI RefSeq,rna-b4577,"Dbxref:ASAP:ABE-0285090,ECOCYC:G0-9941,GeneID:4056038|gbkey:ncRNA",false,,,,,,NC_000913.3:77367-77593:+; feature_type=ncRNA
